ID	GeneID	geneSymbol	PValue	FDR	IncLevelDifference	PSI_1	PSI_2	Chr	Strand	exon_long	exon_short	exon_flanking
21	LOC411556	NA	1	1	0.228	1,0.574,1,1,NA	0.14,0.855,1	chrNC_037653.1	-	2844798-2844909	2844798-2844906	2845096-2845242
22	LOC411469	NA	0.00919112370125	0.0292168170635762	-0.031	0.96,0.898,0.844,0.861,0.862	0.944,0.931,0.873	chrNC_037653.1	-	2705768-2705958	2705768-2705948	2706020-2706144
23	LOC413633	NA	1	1	-0.281	NA,NA,0.329,0,0	0,0.632,0.541	chrNC_037653.1	-	1545022-1545173	1545022-1545170	1548930-1549219
24	LOC552675	NA	0.506029667361	0.885828739362801	-0.013	0.899,0.945,0.954,0.947,0.933	0.955,0.947,0.945	chrNC_037653.1	+	1308752-1310425	1308755-1310425	1307596-1308190
25	LOC726460	NA	0.0387770512735	0.10480284127973	-0.008	0.059,0.071,0.025,0.053,0.03	0.053,0.037,0.076	chrNC_037653.1	-	1147170-1147523	1147170-1147286	1147683-1147783
26	LOC412031	NA	1	1	0.081	1,1,0.895,NA,1	0.934,0.897,0.846	chrNC_037653.1	-	1102300-1102353	1102300-1102348	1103104-1103160
27	LOC412031	NA	0.0439546065984	0.117082192936915	0.078	1,0.795,0.873,1,1	0.849,0.874,0.844	chrNC_037653.1	-	1102300-1102353	1102300-1102348	1103129-1103160
28	LOC412031	NA	1	1	0.043	1,1,0.976,NA,1	0.958,0.96,0.934	chrNC_037653.1	-	1102300-1102353	1102300-1102348	1103243-1103346
29	LOC113219252	NA	0.385816082925	0.706838625206107	-0.12	0.395,0.849,0.834,0.859,1	0.924,0.958,0.839	chrNC_037652.1	+	9504589-9505149	9504592-9505149	9503477-9503632
30	LOC411646	NA	0.883494617903	1	0.035	1,0.844,0.802,0.771,0.769	0.806,0.738,0.862	chrNC_037652.1	+	9388914-9389247	9388917-9389247	9388204-9388571
31	LOC411646	NA	0.000683067402467	0.00275522985869042	-0.125	0.565,0.705,0.657,0.659,0.685	0.785,0.794,0.758	chrNC_037652.1	+	9395384-9395613	9395393-9395613	9394321-9394656
32	LOC412503	NA	0.277882009468	0.540584749557861	0.008	0.097,0.024,0,0.017,0.033	0.012,0,0.067	chrNC_037652.1	-	9315814-9316036	9315814-9316021	9316080-9316246
33	LOC550735	NA	0.857678822968	1	0.019	0.653,0.351,0.33,0.49,0.702	0.552,0.417,0.49	chrNC_037652.1	-	9283955-9284114	9283955-9284078	9284231-9284440
34	LOC551328	NA	1	1	-0.012	1,1,0.98,0.986,0.975	1,1,1	chrNC_037652.1	+	8831819-8832042	8831879-8832042	8830696-8830813
35	LOC551328	NA	0.0422506918297	0.112921757319555	-0.04	0.634,0.586,0.569,0.638,0.546	0.681,0.624,0.599	chrNC_037652.1	+	8838991-8840449	8838994-8840449	8838544-8838914
36	LOC412796	NA	0	0	-0.261	0.57,0.547,0.643,0.755,0.745	0.869,0.948,0.922	chrNC_037652.1	-	8208332-8208405	8208332-8208381	8208784-8208871
37	LOC412796	NA	2.77631097987e-05	0.000140276765298695	-0.23	0.495,0.375,0.542,0.569,0.667	0.639,0.874,0.765	chrNC_037652.1	-	8208332-8208513	8208332-8208381	8208784-8208871
38	LOC412796	NA	8.96862584199e-11	9.48224758624494e-10	0.169	0.42,0.323,0.395,0.301,0.414	0.182,0.254,0.169	chrNC_037652.1	-	8208332-8208513	8208332-8208405	8208784-8208871
39	LOC100577551	NA	0.328858204551	0.621898072507317	0.006	1,0.936,0.985,0.948,0.961	0.922,1,0.958	chrNC_037652.1	+	8045580-8047011	8045583-8047011	8045234-8045463
40	LOC409611	NA	1	1	-0.16	NA,0.279,0.34,0.172,0.426	0.46,0.472,0.461	chrNC_037652.1	-	7909918-7910547	7909918-7910526	7911356-7911482
41	LOC409611	NA	0.381928704007	0.701859792968453	0.029	1,0.151,0.247,0.17,0.249	0.298,0.355,0.351	chrNC_037652.1	-	7909918-7910550	7909918-7910526	7911356-7911482
42	LOC409611	NA	0.953210640773	1	0.103	1,0.098,0.389,0.495,0.164	0.269,0.369,0.34	chrNC_037652.1	-	7909918-7910550	7909918-7910547	7911356-7911482
43	LOC409713	NA	0	0	-0.187	0.519,0.614,0.684,0.659,0.647	0.832,0.821,0.782	chrNC_037652.1	-	7855701-7855844	7855701-7855829	7856940-7857007
44	LOC409713	NA	1	1	0.003	1,1,1,0.996,0.996	0.985,1,1	chrNC_037652.1	-	7855701-7855844	7855701-7855829	7860747-7860818
45	LOC726353	NA	0.221172090668	0.447565782127487	0.038	0.24,0.051,0.044,0.115,0.16	0.107,0.066,0.079	chrNC_037652.1	+	7751494-7751909	7751514-7751909	7751211-7751442
46	LOC113218519	NA	0.0100998673279	0.031894317877579	-0.133	0.131,0.428,0.436,0.262,0.329	0.427,0.483,0.441	chrNC_037652.1	-	7739929-7740181	7739929-7740178	7740361-7740745
47	LOC102654111	NA	0.0195133058018	0.0569039294341677	-0.325	0,0.32,0.203,0.375,0.246	0,1,0.662	chrNC_037652.1	-	7719771-7720293	7719771-7720290	7720366-7720625
48	LOC552633	NA	0.145835646623	0.322957773243871	-0.031	0.048,0.143,0.143,0.165,0.218	0.16,0.157,0.207	chrNC_037652.1	+	7664731-7665014	7664746-7665014	7664504-7664658
49	LOC551799	NA	0.640636668351	1	0.005	0.994,0.972,0.979,0.971,0.974	0.976,0.985,0.957	chrNC_037653.1	+	4626431-4626556	4626434-4626556	4626192-4626248
50	LOC552708	NA	0.000374238753425	0.00159533394	-0.019	0.044,0.019,0.008,0.006,0	0.033,0.034,0.037	chrNC_037652.1	-	7589774-7590086	7589774-7590065	7590166-7590428
51	pHCl	NA	1	1	-0.087	NA,0.654,1,1,1	1,1,1	chrNC_037652.1	+	7547452-7547577	7547461-7547577	7531499-7531591
52	pHCl	NA	0.0605798556889	0.153690965806934	-0.119	1,0.207,0.057,0.134,0.222	0.52,0.359,0.449	chrNC_037652.1	+	7547440-7547577	7547452-7547577	7534333-7534547
53	pHCl	NA	0.832247588296	1	0.077	0.539,0.245,0.113,0.136,0.204	0.196,0.173,0.141	chrNC_037652.1	+	7547440-7547577	7547461-7547577	7534333-7534547
54	pHCl	NA	0.00973936768949	0.030877783956111	0.101	0,0.48,0.289,0.381,0.363	0.189,0.258,0.159	chrNC_037652.1	+	7547452-7547577	7547461-7547577	7534333-7534547
55	pHCl	NA	1	1	-0.846	NA,0,0.258,0.357,0	1,1,1	chrNC_037652.1	+	7547440-7547577	7547452-7547577	7539796-7539846
56	pHCl	NA	7.50794371118e-09	6.17091263932603e-08	-0.349	0,0.137,0.113,0.205,0.104	0.584,0.363,0.434	chrNC_037652.1	+	7547440-7547577	7547461-7547577	7539796-7539846
57	pHCl	NA	0.0389759973196	0.105103812996674	-0.192	0,0.239,0.144,0.28,0.163	0.468,0.165,0.44	chrNC_037652.1	+	7547452-7547577	7547461-7547577	7539796-7539846
58	LOC725115	NA	0.000284369169257	0.00125456986436912	0.139	0.917,0.969,0.787,0.907,0.837	0.856,0.595,0.783	chrNC_037652.1	+	7445902-7446772	7446707-7446772	7445182-7445200
60	LOC100577783	NA	1	1	0.037	NA,1,0.793,0.873,0.746	0.648,0.907,0.893	chrNC_037652.1	+	6873460-6873634	6873463-6873634	6873072-6873374
61	LOC409321	NA	0	0	0.126	1,0.985,0.932,0.96,0.914	0.808,0.849,0.841	chrNC_037652.1	-	6557884-6558057	6557884-6557997	6558121-6558309
62	LOC409321	NA	4.38538094727e-14	6.49686066262222e-13	-0.07	1,0.927,0.86,0.827,0.959	0.985,0.977,0.992	chrNC_037652.1	-	6558121-6558306	6558121-6558279	6558517-6558657
63	LOC409321	NA	1.11022302463e-16	1.91693184108777e-15	-0.032	1,0.972,0.945,0.918,0.978	0.995,0.992,0.998	chrNC_037652.1	-	6558121-6558309	6558121-6558279	6558517-6558657
64	LOC409321	NA	0.0781472850977	0.190991328141018	-0.009	1,0.894,0.894,0.839,0.817	0.905,0.889,0.9	chrNC_037652.1	-	6558121-6558309	6558121-6558306	6558517-6558657
65	LOC409321	NA	7.57942597573e-11	8.08472104077867e-10	-0.099	0.804,0.876,0.915,0.917,0.871	0.975,1,0.951	chrNC_037652.1	-	6558121-6558306	6558121-6558279	6559082-6559339
66	LOC409321	NA	4.0810049784e-09	3.54869998121739e-08	-0.065	0.874,0.914,0.941,0.938,0.904	0.978,1,0.961	chrNC_037652.1	-	6558121-6558309	6558121-6558279	6559082-6559339
67	LOC409321	NA	0.000297297968787	0.00130441521954077	-0.094	0.797,0.817,0.979,0.726,0.972	0.879,1,0.979	chrNC_037652.1	-	6558121-6558309	6558121-6558306	6559082-6559339
68	LOC409321	NA	0.000281626019125	0.00124497873349392	-0.214	0.742,0.427,0.485,0.218,0.393	0.716,0.631,0.653	chrNC_037652.1	-	6559082-6559339	6559082-6559324	6559525-6559804
69	LOC408533	NA	2.81861800566e-09	2.48701588734706e-08	0.235	0.94,0.868,0.714,0.832,0.899	0.559,0.637,0.651	chrNC_037652.1	-	5740342-5740468	5740342-5740390	5740861-5741014
70	LOC410621	NA	0.816133394027	1	0.031	0.206,0.36,0.227,0.22,0.337	0.164,0.316,0.238	chrNC_037652.1	-	5251931-5252080	5251931-5252077	5252158-5252303
71	LOC410621	NA	8.74128790129e-07	5.44911453586909e-06	-0.326	0.49,0.489,0.643,0.652,0.677	1,0.849,0.899	chrNC_037652.1	-	5252367-5252872	5252367-5252860	5252942-5253394
72	LOC409674	NA	1	1	0.105	NA,1,0.821,0.68,0.914	0.932,0.645,0.67	chrNC_037652.1	-	5238092-5240745	5238092-5240742	5241119-5241378
73	LOC410623	NA	1	1	-0.068	1,0.722,0.936,1,1	1,NA,1	chrNC_037652.1	-	5091949-5092104	5091949-5092023	5092249-5093174
74	LOC411720	NA	0.000180764480044	0.000827928916232061	-0.156	0.482,0.591,0.724,0.59,0.755	0.74,0.82,0.793	chrNC_037652.1	+	3775790-3775869	3775795-3775869	3775592-3775719
75	LOC413755	NA	0.0334766475642	0.0919459411092906	0.035	0.12,0.183,0.242,0.181,0.246	0.115,0.178,0.184	chrNC_037652.1	-	3449944-3450175	3449944-3450160	3450368-3450755
76	LOC408548	NA	0.0470840822168	0.124314408493201	0.05	0.795,0.704,0.721,0.739,0.661	0.65,0.664,0.709	chrNC_037652.1	-	2986196-2986351	2986196-2986348	2987682-2987874
77	Syt20	NA	0.119687429926	0.274093350975573	0.051	0.307,0.149,0.187,0.136,0.195	0.083,0.198,0.15	chrNC_037653.1	-	1772122-1772256	1772122-1772241	1776424-1776568
78	LOC725503	NA	0.769517819261	1	0.011	0.274,0.392,0.236,0.331,0.316	0.261,0.345,0.291	chrNC_037652.1	-	2837156-2837230	2837156-2837227	2837644-2837841
79	LOC100577909	NA	1.01552657061e-07	7.21083955462722e-07	0.308	1,0.824,0.755,0.852,0.945	0.561,0.534,0.607	chrNC_037652.1	-	2808889-2808997	2808889-2808971	2809149-2809484
80	LOC551194	NA	0.0376668448917	0.102536634848707	0.18	1,0.78,0.662,0.683,0.831	0.628,0.435,0.772	chrNC_037652.1	+	2795365-2795431	2795368-2795431	2794991-2795281
81	LOC409137	NA	1	1	0.062	NA,0.895,1,0.957,1	1,1,0.702	chrNC_037652.1	-	2662684-2662864	2662684-2662855	2663312-2663477
82	LOC551839	NA	0.0767364277036	0.188117902439877	-0.263	0.116,0.36,0.688,0.283,0.759	0.301,1,0.813	chrNC_037652.1	+	2548221-2548340	2548261-2548340	2547739-2547943
83	LOC551839	NA	0.635714683528	1	-0.058	1,0.256,1,0.84,1	0.921,1,0.712	chrNC_037652.1	+	2548221-2548340	2548261-2548340	2547741-2547960
84	LOC724207	NA	1	1	-0.033	0,0.936,0,NA,NA	0.285,0.41,0.339	chrNC_037652.1	-	2531439-2532030	2531439-2531965	2533051-2533300
86	LOC727223	NA	6.19935097879e-06	3.46816837974266e-05	0.026	0.944,0.984,0.951,0.974,0.984	0.966,0.971,0.886	chrNC_037652.1	-	2188531-2188683	2188531-2188647	2188800-2188982
87	LOC727223	NA	0.186090711672	0.392458442893497	-0.041	0.414,0.277,0.093,0.234,0.419	0.426,0.218,0.341	chrNC_037652.1	-	2190386-2190525	2190386-2190516	2190602-2190798
88	LOC726601	NA	6.81959710924e-08	4.94472297950937e-07	-0.048	0.922,0.961,0.926,0.962,0.916	0.965,1,0.99	chrNC_037652.1	+	1879297-1879455	1879384-1879455	1878951-1879099
89	LOC100578556	NA	0.819340380704	1	-0.029	0.246,0.589,0.548,0.692,0.532	0.569,0.506,0.577	chrNC_037652.1	+	1823436-1823779	1823439-1823779	1822985-1823133
90	LOC409573	NA	0.687698813022	1	-0.077	0.45,0.885,0.889,0.911,0.855	0.926,0.827,0.873	chrNC_037652.1	+	1799720-1800350	1799723-1800350	1799390-1799500
91	LOC409200	NA	0	0	0.24	0.984,0.973,0.862,0.976,0.951	0.735,0.687,0.706	chrNC_037652.1	-	1572457-1572747	1572457-1572694	1572951-1573030
92	LOC724789	NA	0.00705044114016	0.0231795325155945	0.041	0.943,0.879,0.919,0.92,0.928	0.876,0.892,0.863	chrNC_037652.1	-	814499-814601	814499-814596	814688-814800
93	LOC724789	NA	0.000354787438185	0.00152323765947048	0.015	1,0.993,1,1,0.844	0.988,0.927,0.941	chrNC_037652.1	-	815568-815789	815568-815745	815990-816088
94	LOC724789	NA	0.00278533485178	0.0098450716410486	-0.076	1,0.88,0.76,0.941,0.664	0.986,0.844,0.945	chrNC_037652.1	-	815568-815789	815568-815745	816197-816330
95	LOC724789	NA	0.267548557553	0.524176765818122	0.081	0.205,0.67,0.797,0.754,0.868	0.404,0.73,0.6	chrNC_037652.1	-	816197-816388	816197-816330	816533-816577
96	LOC100576614	NA	1	1	-0.048	1,1,0.85,0.988,0.924	1,NA,1	chrNC_037652.1	-	805944-806099	805944-806082	808663-808874
97	LOC411466	NA	0	0	-0.295	0.058,0.128,0.145,0.073,0.048	0.335,0.412,0.409	chrNC_037652.1	+	630319-630526	630349-630526	630012-630199
98	LOC411466	NA	0.00251239806224	0.00895951760679941	-0.03	0.036,0.022,0.03,0.01,0.028	0.034,0.119,0.013	chrNC_037652.1	+	646524-646698	646536-646698	644650-644819
99	LOC411466	NA	0.176787205319	0.377146038013867	-0.053	0.481,0.357,0.202,0.05,0.178	0.284,0.507,0.129	chrNC_037652.1	+	646524-646923	646536-646923	645438-645590
100	LOC411466	NA	1.06376177833e-06	6.47976717764467e-06	-0.168	0.631,0.594,0.587,0.466,0.662	0.755,0.762,0.75	chrNC_037652.1	+	646762-646923	646834-646923	646524-646698
101	LOC408501	NA	0.00349033859451	0.0121227389679074	0.028	0,0.13,0.165,0.139,0.151	0.082,0.098,0.088	chrNC_037651.1	+	10641032-10641086	10641044-10641086	10640838-10640967
102	LOC408501	NA	0.804464516068	1	-0.028	0,0.246,0.183,0.244,0.212	0.143,0.248,0.223	chrNC_037651.1	+	10641032-10641086	10641044-10641086	10640838-10640980
103	Metrn	NA	0.107162145854	0.249940864965598	0.145	0.436,0.844,0.709,0.485,0.756	0.326,0.723,0.454	chrNC_037651.1	+	10631143-10631330	10631148-10631330	10630610-10631072
104	LOC551446	NA	1	1	-0.001	1,0.993,1,1,1	1,1,1	chrNC_037651.1	-	10602411-10602833	10602411-10602626	10608055-10608102
105	LOC551446	NA	0.710928311067	1	0.042	0.321,0.066,0.116,0.072,0.104	0.075,0.088,0.117	chrNC_037651.1	-	10606818-10607176	10606818-10607158	10608055-10608102
106	LOC551446	NA	1	1	-0.006	1,1,0.979,0.996,0.99	0.998,1,1	chrNC_037651.1	-	10602411-10602833	10602411-10602626	10610669-10610755
107	LOC551446	NA	0.0901041326963	0.216033884586533	0.008	0.156,0.032,0.045,0.03,0.049	0.059,0.051,0.053	chrNC_037651.1	-	10606818-10607176	10606818-10607158	10610669-10610755
108	LOC551446	NA	1	1	0	1,1,1,1,1	1,0.999,1	chrNC_037651.1	-	10602411-10602833	10602411-10602626	10611483-10611582
110	LOC552019	NA	6.08237138433e-09	5.11823879316084e-08	0.115	1,0.875,1,1,1	0.795,1,0.785	chrNC_037653.1	-	2963755-2963862	2963755-2963841	2963921-2964097
111	LOC727232	NA	0	0	-0.39	0.611,0.536,0.549,0.617,0.537	0.986,0.966,0.929	chrNC_037651.1	-	10020559-10020703	10020559-10020685	10021114-10021281
112	LOC727232	NA	7.26532590334e-06	3.99926196514128e-05	-0.07	1,0.928,0.971,0.864,0.888	1,1,1	chrNC_037651.1	-	10020559-10020703	10020559-10020685	10022406-10022500
113	LOC727232	NA	0.00851532209542	0.027249030705344	0.067	0.973,0.927,0.92,0.905,0.883	0.938,0.834,0.791	chrNC_037651.1	-	10022252-10022275	10022252-10022272	10022406-10022500
115	LOC410558	NA	0.803380565963	1	0.034	0.422,0.038,0.041,0.055,0.067	0.034,0.128,0.111	chrNC_037651.1	-	9981482-9981729	9981482-9981719	9981804-9982196
116	LOC727185	NA	1	1	0.152	NA,0.404,1,0.744,1	0.592,0.58,0.733	chrNC_037651.1	+	9966247-9966516	9966252-9966516	9964658-9964866
117	LOC727185	NA	1	1	0.005	NA,0.629,0.727,0.592,1	1,0.409,0.788	chrNC_037651.1	+	9966247-9966516	9966252-9966516	9965527-9965550
118	LOC727185	NA	1	1	0.031	1,1,1,1,1	1,0.906,1	chrNC_037651.1	+	9966247-9966516	9966252-9966516	9965645-9965907
119	LOC550989	NA	1	1	0.016	1,1,1,1,1	0.952,1,1	chrNC_037653.1	-	4895513-4895705	4895513-4895657	4896060-4896119
120	LOC550989	NA	0.000517201715503	0.00212548650206712	-0.135	0.161,0.077,0.166,0.16,0.263	0.239,0.439,0.222	chrNC_037653.1	-	4895513-4895657	4895513-4895643	4897727-4897853
121	LOC550989	NA	8.8115596597e-08	6.2939711855e-07	-0.245	0.342,0.147,0.28,0.161,0.301	0.367,0.587,0.519	chrNC_037653.1	-	4895513-4895705	4895513-4895643	4897727-4897853
122	LOC550989	NA	0.000750426796706	0.003001707186824	-0.14	1,0.766,0.729,0.528,0.714	0.921,0.825,0.916	chrNC_037653.1	-	4895513-4895705	4895513-4895657	4897727-4897853
123	LOC100576251	NA	0.853811729669	1	-0.095	0,0.512,0.355,0.645,0.434	0.649,0.156,0.649	chrNC_037651.1	-	9470631-9470834	9470631-9470822	9471551-9471688
124	LOC100576251	NA	1	1	0.48	NA,1,0.92,1,1	0,NA,1	chrNC_037651.1	-	9470631-9470834	9470631-9470822	9474973-9475132
125	LOC100576251	NA	0.174555173134	0.373713127137913	0.076	0.434,0.28,0.352,0.285,0.236	0.043,0.299,0.381	chrNC_037651.1	-	9472322-9472534	9472322-9472489	9474973-9475132
126	LOC100576251	NA	1	1	-0.031	NA,1,1,1,0.876	1,1,1	chrNC_037651.1	-	9474973-9475132	9474973-9475105	9481393-9481422
127	LOC100576251	NA	1	1	-0.321	NA,0.348,0.77,0.649,0.495	0.658,1,1	chrNC_037651.1	-	9474973-9475132	9474973-9475105	9486027-9486220
128	LOC100576251	NA	0.650342070049	1	-0.028	1,0.87,0.832,0.754,0.787	0.629,1,1	chrNC_037651.1	-	9474973-9475132	9474973-9475105	9486036-9486220
129	LOC100576251	NA	1	1	-0.181	1,0.843,0.833,0.723,0.696	1,1,NA	chrNC_037651.1	-	9502568-9502898	9502568-9502886	9527633-9527743
131	LOC410545	NA	0.329346854232	0.621898072507317	0.011	0.155,0.037,0.034,0.02,0.056	0.052,0.043,0.054	chrNC_037651.1	-	9309829-9309979	9309829-9309967	9310046-9310209
132	LOC726723	NA	3.28258420446e-10	3.22877134864918e-09	-0.052	0.966,0.909,0.948,0.91,0.903	0.968,0.985,0.985	chrNC_037651.1	-	9225974-9226185	9225974-9226179	9226322-9226426
133	LOC726723	NA	1	1	-0.041	1,0.794,1,1,1	1,1,1	chrNC_037651.1	-	9225974-9226185	9225974-9226179	9226703-9226935
134	LOC726723	NA	0.599510467649	1	-0.027	1,1,0.949,1,0.915	1,1,1	chrNC_037651.1	-	9229906-9230314	9229906-9230077	9230615-9230730
135	LOC726723	NA	0.037171116022	0.101375770969091	0.097	0.179,0.254,0.431,0.253,0.426	0.323,0.103,0.21	chrNC_037651.1	-	9232068-9232236	9232068-9232233	9236864-9237175
136	LOC726649	NA	0.188912628787	0.396666937085564	0.026	1,0.943,0.945,0.842,0.843	0.943,0.914,0.81	chrNC_037651.1	-	9103262-9103476	9103262-9103464	9103744-9103818
137	LOC100578743	NA	0.00555458226103	0.0185152742034333	-0.031	1,1,0.873,0.819,0.94	0.947,0.957,0.969	chrNC_037651.1	-	9100657-9100979	9100657-9100967	9101051-9101153
138	LOC413909	NA	7.28346903123e-07	4.57369435762089e-06	-0.51	0.843,0.361,0.06,0.45,0.066	0.818,1,0.781	chrNC_037651.1	+	9093424-9093827	9093441-9093827	9092179-9092280
139	LOC413909	NA	0.0196629419883	0.0572012857841455	-0.038	0.152,0.13,0.028,0.178,0.057	0.15,0.108,0.184	chrNC_037651.1	+	9093424-9093827	9093441-9093827	9092532-9092661
140	LOC413909	NA	0.167831455647	0.361900712985445	0.043	0.23,0.14,0.183,0.359,0.161	0.176,0.157,0.183	chrNC_037651.1	+	9093424-9093827	9093441-9093827	9092964-9093071
142	LOC551708	NA	0.142375283615	0.316096836888067	-0.129	1,0.977,1,1,0.197	0.905,1,0.985	chrNC_037651.1	+	9086829-9087065	9086832-9087065	9086399-9086726
143	LOC550799	NA	0.0030314190492	0.0106055476939942	0.015	0.918,0.942,0.958,0.963,0.936	0.922,0.917,0.947	chrNC_037651.1	+	9072802-9072905	9072808-9072905	9072645-9072719
144	LOC412301	NA	0	0	0.083	1,1,0.987,0.989,1	0.941,0.881,0.914	chrNC_037651.1	+	9058812-9059051	9058918-9059051	9058643-9058741
145	LOC412301	NA	1	1	0.005	1,1,1,1,0.995	0.981,1,1	chrNC_037651.1	+	9058812-9059051	9058921-9059051	9058643-9058741
146	LOC412301	NA	0.465602053753	0.82651252145503	0.004	1,1,1,1,0.898	0.927,1,1	chrNC_037651.1	+	9058918-9059051	9058921-9059051	9058643-9058741
147	LOC412301	NA	0.0516548587525	0.135045382359477	0.074	0.909,0.807,0.742,0.845,0.855	0.746,0.753,0.775	chrNC_037651.1	+	9058918-9059051	9058921-9059051	9058812-9058839
148	LOC100576805	NA	0.0679262340055	0.169638877849324	-0.013	1,0.9,0.951,0.907,0.906	0.965,0.919,0.952	chrNC_037651.1	-	8643075-8643199	8643075-8643175	8643284-8643426
149	LOC408467	NA	0.163820701944	0.355487960818807	-0.063	0.637,0.951,0.967,0.831,0.876	0.953,0.867,0.925	chrNC_037651.1	+	8322347-8322867	8322354-8322867	8321905-8322116
150	LOC100576195	NA	0.326011801719	0.617544060083347	0.084	0.621,0.373,0.656,0.372,0.821	0.495,0.481,0.478	chrNC_037651.1	+	8118476-8118839	8118509-8118839	8118154-8118260
151	LOC100576236	NA	1	1	0.068	NA,1,1,1,1	1,0.797,1	chrNC_037651.1	+	8061212-8061388	8061215-8061388	8060700-8060914
152	LOC100576236	NA	0.0157974066787	0.0469229901347525	-0.034	0.907,0.871,0.855,0.765,0.798	0.873,0.902,0.844	chrNC_037651.1	+	8061212-8061388	8061215-8061388	8060974-8061120
153	LOC408463	NA	0.539998002158	0.932370651208058	0.065	0.726,0.388,0.796,0.729,0.8	0.799,0.652,0.418	chrNC_037651.1	+	8044985-8045251	8045005-8045251	8032761-8032890
154	LOC408463	NA	0.329215087186	0.621898072507317	0.026	1,0.821,0.844,0.903,1	1,0.848,0.815	chrNC_037651.1	+	8044985-8045251	8045005-8045251	8039713-8039849
155	LOC408463	NA	1.80996634458e-07	1.23758382535385e-06	0.292	1,0.744,1,0.918,1	0.638,0.494,0.789	chrNC_037651.1	+	8044985-8045251	8045005-8045251	8043500-8044850
156	LOC726582	NA	0.000375105439409	0.00159619335918723	0.077	0.226,0.113,0.187,0.06,0.113	0.044,0.068,0.076	chrNC_037651.1	+	7875735-7875905	7875756-7875905	7875389-7875684
157	LOC551848	NA	2.25413978802e-05	0.000115844443067409	-0.04	0.936,0.931,0.951,0.969,0.935	0.985,0.988,0.979	chrNC_037653.1	+	3080973-3081290	3080982-3081290	3080665-3080902
158	LOC410507	NA	0.000833673342323	0.00330713391995901	0.053	0.15,0.083,0.031,0.061,0.137	0.039,0.037,0.041	chrNC_037651.1	-	7663283-7663498	7663283-7663478	7663603-7663823
159	LOC100577030	NA	0.340516118239	0.636974811982541	0.02	1,0.98,0.995,0.998,0.996	1,0.922,1	chrNC_037651.1	-	7454837-7457500	7454837-7456414	7458308-7458465
