ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
22	"LOC552633"	"LOC552633"	chrNC_037652.1	+	7665740	7666565	7665740	7666046	7666142	7666565
23	"LOC725115"	"LOC725115"	chrNC_037652.1	+	7445726	7446772	7445726	7445790	7446706	7446772
24	"LOC100577783"	"LOC100577783"	chrNC_037652.1	+	6874316	6877013	6874316	6874475	6875255	6877013
25	"Adar"	"Adar"	chrNC_037652.1	-	6313877	6314525	6313877	6314004	6314222	6314525
26	"Adar"	"Adar"	chrNC_037652.1	-	6320141	6320517	6320141	6320250	6320326	6320517
27	"LOC412163"	"LOC412163"	chrNC_037652.1	+	5169863	5170227	5169863	5169950	5170037	5170227
28	"LOC410623"	"LOC410623"	chrNC_037652.1	-	5091216	5091668	5091216	5091440	5091518	5091668
29	"LOC410624"	"LOC410624"	chrNC_037652.1	+	5072805	5074655	5072805	5074010	5074055	5074655
30	"LOC413032"	"LOC413032"	chrNC_037652.1	-	3839160	3840221	3839160	3839687	3839768	3840221
31	"LOC413032"	"LOC413032"	chrNC_037652.1	-	3840798	3841233	3840798	3841027	3841102	3841233
32	"LOC409440"	"LOC409440"	chrNC_037652.1	+	3703902	3704188	3703902	3703953	3704024	3704188
33	"LOC100577929"	"LOC100577929"	chrNW_020555870.1	-	33315	33827	33315	33531	33629	33827
34	"Tpx-3"	"Tpx-3"	chrNC_037652.1	+	4366332	4366905	4366332	4366493	4366592	4366905
35	"LOC100578556"	"LOC100578556"	chrNC_037652.1	+	1821600	1822048	1821600	1821844	1821922	1822048
36	"LOC100578556"	"LOC100578556"	chrNC_037652.1	+	1821600	1822911	1821600	1822048	1822117	1822911
37	"LOC409573"	"LOC409573"	chrNC_037652.1	+	1799719	1800350	1799719	1799917	1800007	1800350
38	"LOC411466"	"LOC411466"	chrNC_037652.1	+	628194	628795	628194	628442	628693	628795
39	"LOC411466"	"LOC411466"	chrNC_037652.1	+	646523	646923	646523	646698	646761	646923
40	"LOC411466"	"LOC411466"	chrNC_037652.1	+	646523	646923	646523	646698	646833	646923
41	"LOC411466"	"LOC411466"	chrNC_037652.1	+	658778	659504	658778	658909	658995	659504
42	"Metrn"	"Metrn"	chrNC_037651.1	+	10630609	10631335	10630609	10631072	10631142	10631335
43	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10602410	10602833	10602410	10602626	10602751	10602833
44	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10611482	10611766	10611482	10611582	10611696	10611766
45	"LOC727311"	"LOC727311"	chrNC_037651.1	+	10455948	10456170	10455948	10456021	10456087	10456170
46	"LOC409253"	"LOC409253"	chrNC_037651.1	+	10450746	10451211	10450746	10450957	10451056	10451211
47	"LOC727238"	"LOC727238"	chrNC_037651.1	+	10041051	10044632	10041051	10044303	10044387	10044632
48	"LOC550799"	"LOC550799"	chrNC_037651.1	+	9073240	9076239	9073240	9073410	9074338	9076239
49	"LOC412301"	"LOC412301"	chrNC_037651.1	+	9058811	9059051	9058811	9058839	9058917	9059051
50	"LOC412301"	"LOC412301"	chrNC_037651.1	+	9058811	9059051	9058811	9058839	9058920	9059051
51	"LOC726373"	"LOC726373"	chrNC_037651.1	-	9030006	9031083	9030006	9030249	9030330	9031083
52	"LOC100576925"	"LOC100576925"	chrNC_037651.1	-	8628320	8628833	8628320	8628508	8628602	8628833
53	"LOC100576925"	"LOC100576925"	chrNC_037651.1	-	8628320	8628833	8628320	8628508	8628615	8628833
54	"LOC412941"	"LOC412941"	chrNC_037651.1	-	8253349	8254325	8253349	8253748	8253979	8254325
55	"LOC725056"	"LOC725056"	chrNC_037651.1	+	8245928	8246303	8245928	8246048	8246132	8246303
56	"LOC410509"	"LOC410509"	chrNC_037651.1	+	7702421	7705682	7702421	7705436	7705562	7705682
57	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7454836	7457500	7454836	7456414	7457372	7457500
58	"LOC100578862"	"LOC100578862"	chrNC_037651.1	+	7253657	7254263	7253657	7253832	7253889	7254263
59	"LOC551378"	"LOC551378"	chrNC_037651.1	+	6866649	6867588	6866649	6867264	6867346	6867588
60	"LOC724846"	"LOC724846"	chrNC_037651.1	-	6832349	6832695	6832349	6832581	6832663	6832695
61	"LOC413466"	"LOC413466"	chrNC_037651.1	-	6682530	6683569	6682530	6682961	6683124	6683569
62	"LOC413466"	"LOC413466"	chrNC_037651.1	-	6682530	6683569	6682530	6683010	6683124	6683569
63	"LOC409753"	"LOC409753"	chrNC_037651.1	+	6507105	6508404	6507105	6507884	6508194	6508404
64	"LOC100577863"	"LOC100577863"	chrNC_037651.1	+	4758572	4761906	4758572	4760482	4760558	4761906
65	"LOC100577542"	"LOC100577542"	chrNC_037651.1	+	3798720	3799034	3798720	3798889	3798975	3799034
66	"LOC100577542"	"LOC100577542"	chrNC_037651.1	+	3857292	3860087	3857292	3858560	3859221	3860087
67	"LOC100576591"	"LOC100576591"	chrNC_037651.1	+	3404389	3405063	3404389	3404871	3405027	3405063
68	"LOC100576591"	"LOC100576591"	chrNC_037651.1	+	3410006	3410484	3410006	3410108	3410174	3410484
69	"LOC100576591"	"LOC100576591"	chrNC_037651.1	+	3410555	3410945	3410555	3410692	3410787	3410945
70	"LOC100576591"	"LOC100576591"	chrNC_037651.1	+	3410555	3410945	3410555	3410721	3410787	3410945
71	"LOC413623"	"LOC413623"	chrNC_037651.1	-	2465037	2465574	2465037	2465257	2465392	2465574
72	"LOC100577945"	"LOC100577945"	chrNC_037651.1	+	2095523	2097194	2095523	2095598	2096218	2097194
73	"LOC100577945"	"LOC100577945"	chrNC_037651.1	+	2095523	2097194	2095523	2096128	2096218	2097194
74	"LOC552697"	"LOC552697"	chrNC_037651.1	+	1478680	1479345	1478680	1478857	1478997	1479345
75	"LOC724962"	"LOC724962"	chrNC_037650.1	-	10469347	10470244	10469347	10470082	10470152	10470244
76	"LOC551363"	"LOC551363"	chrNC_037650.1	-	10324190	10324763	10324190	10324356	10324532	10324763
77	"LOC725111"	"LOC725111"	chrNC_037650.1	-	10101111	10101312	10101111	10101131	10101251	10101312
78	"LOC409050"	"LOC409050"	chrNC_037650.1	+	7316911	7318914	7316911	7317221	7317812	7318914
79	"LOC100577543"	"LOC100577543"	chrNC_037650.1	-	5909253	5910923	5909253	5910008	5910099	5910923
80	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4501410	4502685	4501410	4501605	4501680	4502685
81	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4501410	4502685	4501410	4502130	4502191	4502685
82	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4501410	4502685	4501410	4502130	4502197	4502685
83	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4501410	4502685	4501410	4502306	4502508	4502685
84	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4503435	4503855	4503435	4503549	4503603	4503855
85	"LOC102654051"	"LOC102654051"	chrNC_037650.1	-	5839350	5840248	5839350	5839610	5839668	5840248
86	"LOC410442"	"LOC410442"	chrNC_037650.1	+	5264844	5265159	5264844	5264920	5265001	5265159
87	"LOC107964603"	"LOC107964603"	chrNC_037643.1	-	6517261	6517881	6517261	6517348	6517579	6517881
88	"LOC725246"	"LOC725246"	chrNC_037649.1	-	981131	982970	981131	981549	981736	982970
89	"Kr"	"Kr"	chrNC_037643.1	-	9196306	9197033	9196306	9196579	9196684	9197033
90	"LOC102653687"	"LOC102653687"	chrNC_037643.1	+	5045829	5046186	5045829	5045945	5046019	5046186
91	"LOC100577651"	"LOC100577651"	chrNC_037648.1	+	385592	386256	385592	385709	385949	386256
92	"LOC413447"	"LOC413447"	chrNC_037643.1	-	2386574	2386828	2386574	2386646	2386707	2386828
93	"TpnT"	"TpnT"	chrNC_037643.1	+	2068302	2068333	2068302	2068330	2068331	2068333
94	"LOC100577498"	"LOC100577498"	chrNC_037644.1	-	13518513	13523129	13518513	13520206	13520266	13523129
95	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13714903	13715960	13716548
96	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13715460	13715960	13716548
97	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13715460	13716041	13716548
98	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13714903	13716350	13716548
99	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13715460	13716350	13716548
100	"LOC408315"	"LOC408315"	chrNC_037648.1	+	14080787	14084011	14080787	14081776	14082033	14084011
101	"LOC408315"	"LOC408315"	chrNC_037648.1	+	14080787	14084011	14080787	14082455	14082613	14084011
102	"LOC726654"	"LOC726654"	chrNC_037642.1	-	13575948	13576519	13575948	13576113	13576245	13576519
103	"LOC552797"	"LOC552797"	chrNC_037642.1	+	13445425	13446029	13445425	13445683	13445857	13446029
104	"LOC107964659"	"LOC107964659"	chrNC_037643.1	-	15325630	15326180	15325630	15325744	15325863	15326180
105	"LOC113219197"	"LOC113219197"	chrNC_037650.1	-	1857351	1857798	1857351	1857441	1857661	1857798
106	"LOC100576966"	"LOC100576966"	chrNC_037642.1	+	13253540	13255128	13253540	13253947	13254031	13255128
107	"LOC100577107"	"LOC100577107"	chrNC_037642.1	+	13233633	13234682	13233633	13234009	13234566	13234682
108	"LOC100578678"	"LOC100578678"	chrNC_037642.1	-	12919098	12920542	12919098	12919183	12919264	12920542
109	"LOC413825"	"LOC413825"	chrNC_037642.1	-	11966608	11966939	11966608	11966765	11966831	11966939
110	"LOC726002"	"LOC726002"	chrNC_037642.1	-	10980705	10981098	10980705	10980820	10980913	10981098
111	"LOC100576965"	"LOC100576965"	chrNC_037642.1	-	10029754	10032149	10029754	10031198	10031291	10032149
112	"LOC411468"	"LOC411468"	chrNC_037641.1	-	5691739	5692896	5691739	5692628	5692726	5692896
113	"LOC408840"	"LOC408840"	chrNC_037642.1	+	9749665	9750791	9749665	9749858	9750088	9750791
114	"LOC102656496"	"LOC102656496"	chrNC_037641.1	+	4999905	5000202	4999905	5000102	5000144	5000202
115	"LOC113218777"	"LOC113218777"	chrNC_037642.1	+	9908827	9909742	9908827	9908967	9909480	9909742
116	"LOC100577015"	"LOC100577015"	chrNC_037642.1	+	7595356	7595824	7595356	7595443	7595524	7595824
117	"LOC100577015"	"LOC100577015"	chrNC_037642.1	+	7596053	7598013	7596053	7596174	7597680	7598013
118	"LOC100577015"	"LOC100577015"	chrNC_037642.1	+	7596053	7598013	7596053	7596438	7597680	7598013
119	"LOC100577015"	"LOC100577015"	chrNC_037642.1	+	7596053	7598013	7596053	7597142	7597680	7598013
120	"LOC100577756"	"LOC100577756"	chrNC_037645.1	+	2629178	2630080	2629178	2629614	2629905	2630080
121	"LOC411086"	"LOC411086"	chrNC_037642.1	-	7492475	7496268	7492475	7496067	7496133	7496268
122	"LOC411086"	"LOC411086"	chrNC_037642.1	-	7537318	7539140	7537318	7538456	7538563	7539140
123	"LOC552574"	"LOC552574"	chrNC_037642.1	-	7401055	7401563	7401055	7401235	7401321	7401563
124	"LOC726260"	"LOC726260"	chrNC_037642.1	+	7316464	7316874	7316464	7316687	7316758	7316874
125	"LOC413171"	"LOC413171"	chrNC_037642.1	-	7133464	7136165	7133464	7135691	7135884	7136165
126	"LOC107965266"	"LOC107965266"	chrNC_037648.1	-	567758	568326	567758	568152	568236	568326
127	"LOC411080"	"LOC411080"	chrNC_037642.1	-	6535791	6537673	6535791	6536004	6536215	6537673
128	"LOC411080"	"LOC411080"	chrNC_037642.1	-	6535791	6537673	6535791	6536505	6536586	6537673
129	"Ripk5"	"Ripk5"	chrNC_037650.1	+	5541401	5543208	5541401	5542110	5542949	5543208
130	"Cyp314a1"	"Cyp314a1"	chrNC_037642.1	-	13662309	13663045	13662309	13662476	13662846	13663045
131	"LOC408867"	"LOC408867"	chrNC_037643.1	-	1813306	1813707	1813306	1813332	1813420	1813707
132	"LOC409332"	"LOC409332"	chrNC_037648.1	+	7221612	7224610	7221612	7221903	7221999	7224610
133	"LOC724539"	"LOC724539"	chrNC_037638.1	-	15610994	15611600	15610994	15611395	15611458	15611600
134	"LOC724539"	"LOC724539"	chrNC_037638.1	-	15611667	15611920	15611667	15611833	15611890	15611920
135	"LOC100577801"	"LOC100577801"	chrNC_037648.1	+	12315543	12319079	12315543	12315715	12317765	12319079
136	"LOC100577801"	"LOC100577801"	chrNC_037648.1	+	12315543	12319079	12315543	12315715	12318931	12319079
137	"LOC727151"	"LOC727151"	chrNC_037651.1	+	9855848	9856241	9855848	9855979	9856060	9856241
138	"LOC551628"	"LOC551628"	chrNC_037641.1	-	13005546	13005827	13005546	13005591	13005651	13005827
139	"LOC408754"	"LOC408754"	chrNC_037640.1	-	3997457	3999554	3997457	3997740	3998051	3999554
140	"LOC102653821"	"LOC102653821"	chrNC_037643.1	+	13492796	13493174	13492796	13492957	13493027	13493174
141	"LOC410986"	"LOC410986"	chrNC_037641.1	-	12617883	12618162	12617883	12617982	12618074	12618162
142	"LOC410986"	"LOC410986"	chrNC_037641.1	-	12617883	12618162	12617883	12617982	12618101	12618162
143	"LOC102655409"	"LOC102655409"	chrNC_037641.1	-	12474579	12477931	12474579	12475214	12475367	12477931
144	"LOC408779"	"LOC408779"	chrNC_037641.1	+	12222976	12234722	12222976	12229116	12229203	12234722
145	"LOC408779"	"LOC408779"	chrNC_037641.1	+	12222976	12234722	12222976	12229116	12229284	12234722
146	"LOC408779"	"LOC408779"	chrNC_037641.1	+	12222976	12234722	12222976	12229380	12230034	12234722
147	"LOC100578177"	"LOC100578177"	chrNC_037644.1	-	2980005	2980654	2980005	2980224	2980314	2980654
148	"LOC410573"	"LOC410573"	chrNC_037652.1	-	9186389	9189933	9186389	9186874	9189775	9189933
149	"LOC410573"	"LOC410573"	chrNC_037652.1	-	9186389	9189933	9186389	9186922	9189775	9189933
150	"LOC552792"	"LOC552792"	chrNC_037641.1	+	11950909	11951731	11950909	11951460	11951565	11951731
151	"LOC107965612"	"LOC107965612"	chrNC_037652.1	-	8903342	8903767	8903342	8903522	8903606	8903767
152	"LOC724498"	"LOC724498"	chrNC_037647.1	+	944142	945601	944142	944443	944763	945601
153	"LOC100576683"	"LOC100576683"	chrNC_037642.1	+	11384383	11384977	11384383	11384713	11384783	11384977
154	"LOC100576683"	"LOC100576683"	chrNC_037642.1	+	11384383	11384977	11384383	11384713	11384786	11384977
155	"LOC413377"	"LOC413377"	chrNC_037638.1	+	24141008	24148451	24141008	24148310	24148397	24148451
156	"LOC413377"	"LOC413377"	chrNC_037638.1	+	24141008	24148778	24141008	24148451	24148594	24148778
157	"LOC102653731"	"LOC102653731"	chrNC_037643.1	+	5051365	5052448	5051365	5052130	5052220	5052448
158	"LOC409463"	"LOC409463"	chrNC_037645.1	+	1554777	1554980	1554777	1554821	1554900	1554980
159	"LOC409051"	"LOC409051"	chrNC_037641.1	+	9999068	10010717	9999068	10008241	10008274	10010717
160	"Tbh"	"Tbh"	chrNC_037640.1	-	8155503	8155767	8155503	8155544	8155598	8155767
161	"LOC413113"	"LOC413113"	chrNC_037641.1	+	8844930	8849126	8844930	8846137	8846221	8849126
162	"LOC102654066"	"LOC102654066"	chrNC_037641.1	+	8624784	8625087	8624784	8624931	8624999	8625087
163	"LOC102654507"	"LOC102654507"	chrNC_037646.1	+	10413512	10416205	10413512	10413687	10414634	10416205
164	"LOC408811"	"LOC408811"	chrNC_037641.1	+	6768176	6768690	6768176	6768291	6768495	6768690
165	"LOC408811"	"LOC408811"	chrNC_037641.1	+	6775649	6776580	6775649	6775759	6775862	6776580
166	"LOC408811"	"LOC408811"	chrNC_037641.1	+	6775649	6777498	6775649	6775763	6775862	6777498
167	"LOC413040"	"LOC413040"	chrNC_037643.1	+	3757968	3758371	3757968	3758027	3758094	3758371
168	"LOC100577164"	"LOC100577164"	chrNC_037642.1	-	8111240	8112331	8111240	8111531	8111970	8112331
169	"LOC413858"	"LOC413858"	chrNC_037640.1	+	4573982	4578755	4573982	4578034	4578125	4578755
170	"LOC551679"	"LOC551679"	chrNC_037638.1	-	12025002	12025552	12025002	12025211	12025304	12025552
171	"LOC410969"	"LOC410969"	chrNC_037640.1	-	3485828	3486732	3485828	3486471	3486672	3486732
172	"LOC411476"	"LOC411476"	chrNC_037646.1	-	5793885	5794427	5793885	5794061	5794139	5794427
173	"LOC100576522"	"LOC100576522"	chrNC_037642.1	+	13180362	13180755	13180362	13180441	13180515	13180755
174	"LOC102656523"	"LOC102656523"	chrNC_037643.1	-	15719992	15720511	15719992	15720357	15720431	15720511
175	"LOC102656523"	"LOC102656523"	chrNC_037643.1	-	15719992	15721613	15719992	15720357	15720567	15721613
176	"LOC102656523"	"LOC102656523"	chrNC_037643.1	-	15719992	15721613	15719992	15720511	15720567	15721613
177	"LOC102656523"	"LOC102656523"	chrNC_037643.1	-	15719992	15721613	15719992	15720781	15721011	15721613
178	"LOC100578386"	"LOC100578386"	chrNC_037647.1	+	11932570	11934378	11932570	11934138	11934222	11934378
179	"LOC725393"	"LOC725393"	chrNC_037650.1	-	11022078	11026322	11022078	11024187	11025132	11026322
180	"LOC724373"	"LOC724373"	chrNC_037638.1	-	15396053	15396833	15396053	15396646	15396719	15396833
181	"LOC409065"	"LOC409065"	chrNC_037645.1	+	6491762	6492860	6491762	6492438	6492516	6492860
182	"LOC100578955"	"LOC100578955"	chrNC_037641.1	-	2621068	2622079	2621068	2621592	2621778	2622079
183	"LOC413926"	"LOC413926"	chrNC_037642.1	+	10950492	10950810	10950492	10950689	10950779	10950810
184	"LOC413278"	"LOC413278"	chrNC_037639.1	+	4375473	4375965	4375473	4375725	4375821	4375965
185	"LOC551340"	"LOC551340"	chrNW_020555859.1	+	442889	443745	442889	443172	443361	443745
186	"LOC725864"	"LOC725864"	chrNC_037640.1	+	13310420	13310680	13310420	13310466	13310565	13310680
187	"LOC412620"	"LOC412620"	chrNC_037640.1	+	13305520	13305905	13305520	13305686	13305746	13305905
188	"LOC408314"	"LOC408314"	chrNC_037648.1	-	14061622	14062089	14061622	14061818	14061962	14062089
189	"LOC724177"	"LOC724177"	chrNC_037646.1	-	2777830	2778573	2777830	2777923	2778157	2778573
190	"LOC724235"	"LOC724235"	chrNC_037638.1	+	12179475	12181863	12179475	12179641	12179910	12181863
191	"LOC724235"	"LOC724235"	chrNC_037638.1	+	12179475	12181863	12179475	12179717	12179910	12181863
192	"LOC726770"	"LOC726770"	chrNC_037648.1	+	5123690	5124074	5123690	5123808	5123877	5124074
193	"LOC726770"	"LOC726770"	chrNC_037648.1	+	5133658	5134252	5133658	5133931	5134033	5134252
194	"LOC413073"	"LOC413073"	chrNC_037643.1	+	8654409	8656040	8654409	8654500	8655292	8656040
195	"Amel_8916"	"Amel_8916"	chrNC_037646.1	+	1360992	1361192	1360992	1361053	1361054	1361192
196	"LOC412024"	"LOC412024"	chrNC_037652.1	-	6537060	6537377	6537060	6537195	6537355	6537377
197	"LOC724652"	"LOC724652"	chrNC_037640.1	+	11689019	11690780	11689019	11689296	11689406	11690780
198	"LOC724344"	"LOC724344"	chrNC_037640.1	+	11463139	11464750	11463139	11464209	11464320	11464750
199	"LOC107964882"	"LOC107964882"	chrNC_037645.1	+	11969230	11969542	11969230	11969430	11969525	11969542
200	"LOC107964882"	"LOC107964882"	chrNC_037645.1	+	11969230	11969768	11969230	11969332	11969640	11969768
201	"LOC107964882"	"LOC107964882"	chrNC_037645.1	+	11969230	11969768	11969230	11969542	11969640	11969768
202	"LOC552841"	"LOC552841"	chrNC_037641.1	+	11504715	11504997	11504715	11504849	11504948	11504997
203	"LOC413577"	"LOC413577"	chrNC_037638.1	+	20520671	20521718	20520671	20521076	20521169	20521718
204	"LOC412933"	"LOC412933"	chrNC_037643.1	+	5155503	5155864	5155503	5155716	5155798	5155864
205	"LOC726240"	"LOC726240"	chrNC_037650.1	+	11253072	11253992	11253072	11253730	11253812	11253992
206	"LOC726252"	"LOC726252"	chrNC_037640.1	-	9470161	9479222	9470161	9472125	9472155	9479222
207	"LOC100577178"	"LOC100577178"	chrNC_037640.1	-	8976414	8977833	8976414	8977609	8977770	8977833
208	"LOC551502"	"LOC551502"	chrNC_037650.1	+	2786147	2786536	2786147	2786284	2786365	2786536
209	"LOC551502"	"LOC551502"	chrNC_037650.1	+	2786147	2786536	2786147	2786305	2786365	2786536
210	"LOC408374"	"LOC408374"	chrNC_037649.1	+	5273948	5275326	5273948	5274368	5274963	5275326
211	"LOC408374"	"LOC408374"	chrNC_037649.1	+	5273948	5275326	5273948	5274372	5274963	5275326
212	"LOC408374"	"LOC408374"	chrNC_037649.1	+	5273948	5275326	5273948	5274401	5274963	5275326
213	"LOC726365"	"LOC726365"	chrNC_037640.1	+	8199485	8200170	8199485	8199871	8199942	8200170
214	"LOC107965262"	"LOC107965262"	chrNC_037648.1	+	13601812	13602079	13601812	13601871	13601946	13602079
215	"LOC552510"	"LOC552510"	chrNC_037640.1	+	8110722	8112973	8110722	8111344	8111894	8112973
216	"LOC726727"	"LOC726727"	chrNC_037640.1	-	8089420	8090036	8089420	8089816	8089917	8090036
217	"LOC100578434"	"LOC100578434"	chrNC_037643.1	+	6638079	6638974	6638079	6638354	6638567	6638974
218	"LOC410044"	"LOC410044"	chrNC_037640.1	+	7005874	7007226	7005874	7006178	7006699	7007226
219	"LOC107964268"	"LOC107964268"	chrNC_037641.1	+	5363128	5364367	5363128	5364171	5364241	5364367
220	"LOC551170"	"LOC551170"	chrNC_037640.1	+	6206303	6206999	6206303	6206609	6206690	6206999
221	"LOC551897"	"LOC551897"	chrNC_037642.1	+	5318825	5319825	5318825	5318854	5319277	5319825
222	"LOC410948"	"LOC410948"	chrNC_037640.1	-	6071136	6073071	6071136	6071348	6071733	6073071
223	"LOC410952"	"LOC410952"	chrNC_037640.1	+	5495665	5495980	5495665	5495750	5495819	5495980
224	"LOC113218557"	"LOC113218557"	chrNC_037641.1	-	1779611	1779947	1779611	1779616	1779705	1779947
225	"LOC102655807"	"LOC102655807"	chrNC_037640.1	+	4770900	4772152	4770900	4771841	4771931	4772152
226	"LOC102655807"	"LOC102655807"	chrNC_037640.1	+	4772238	4773040	4772238	4772383	4772637	4773040
227	"LOC102655807"	"LOC102655807"	chrNC_037640.1	+	4772238	4773040	4772238	4772848	4772936	4773040
228	"LOC102655807"	"LOC102655807"	chrNC_037640.1	+	4774030	4774458	4774030	4774203	4774300	4774458
229	"tra2"	"tra2"	chrNC_037648.1	+	10536070	10536589	10536070	10536327	10536423	10536589
230	"LOC113218769"	"LOC113218769"	chrNC_037642.1	-	9746076	9746463	9746076	9746159	9746248	9746463
231	"LOC113218769"	"LOC113218769"	chrNC_037642.1	-	9746950	9747311	9746950	9747110	9747209	9747311
232	"LOC408766"	"LOC408766"	chrNC_037641.1	+	2861371	2864699	2861371	2862757	2862853	2864699
233	"LOC100576737"	"LOC100576737"	chrNC_037640.1	-	4000636	4001238	4000636	4001034	4001100	4001238
234	"LOC102654860"	"LOC102654860"	chrNC_037643.1	+	8893490	8894950	8893490	8894661	8894738	8894950
235	"LOC413101"	"LOC413101"	chrNC_037647.1	+	3829374	3831915	3829374	3831533	3831766	3831915
236	"E74"	"E74"	chrNC_037640.1	-	3463076	3463939	3463076	3463254	3463372	3463939
237	"LOC410616"	"LOC410616"	chrNC_037652.1	+	6229371	6230519	6229371	6229489	6229574	6230519
238	"LOC724809"	"LOC724809"	chrNC_037640.1	+	3315688	3315929	3315688	3315769	3315838	3315929
239	"LOC551725"	"LOC551725"	chrNC_037638.1	+	20586703	20587071	20586703	20586800	20586966	20587071
240	"LOC413810"	"LOC413810"	chrNC_037640.1	+	3241798	3243508	3241798	3242778	3242859	3243508
241	"LOC552695"	"LOC552695"	chrNC_037648.1	-	15797315	15797585	15797315	15797398	15797506	15797585
242	"LOC409468"	"LOC409468"	chrNC_037638.1	+	5243026	5243516	5243026	5243347	5243422	5243516
243	"LOC409468"	"LOC409468"	chrNC_037638.1	+	5243026	5243516	5243026	5243347	5243425	5243516
244	"LOC409468"	"LOC409468"	chrNC_037638.1	+	5244931	5245221	5244931	5245049	5245139	5245221
245	"LOC410031"	"LOC410031"	chrNC_037643.1	-	9099328	9099664	9099328	9099555	9099645	9099664
246	"LOC102656140"	"LOC102656140"	chrNC_037642.1	+	3516922	3517430	3516922	3517103	3517170	3517430
247	"LOC727415"	"LOC727415"	chrNC_037640.1	-	529649	530094	529649	529685	530036	530094
248	"LOC552667"	"LOC552667"	chrNC_037640.1	-	445168	445540	445168	445289	445373	445540
249	"LOC413334"	"LOC413334"	chrNC_037644.1	-	1697850	1699362	1697850	1699043	1699155	1699362
250	"LOC102654728"	"LOC102654728"	chrNC_037640.1	-	56171	58470	56171	57280	58370	58470
251	"LOC409422"	"LOC409422"	chrNC_037640.1	+	24904	25164	24904	25016	25095	25164
252	"LOC100577216"	"LOC100577216"	chrNC_037640.1	-	3522	3782	3522	3591	3670	3782
253	"LOC100577216"	"LOC100577216"	chrNC_037640.1	-	11707	11967	11707	11776	11855	11967
254	"LOC100577216"	"LOC100577216"	chrNC_037640.1	-	28949	29209	28949	29018	29097	29209
