ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
11	"LOC102655025"	"LOC102655025"	chrNC_037653.1	+	2905903	2906131	2905903	2906005	2906092	2906131	11	0,2,7,0,0	0,0,10,5,0	0,16,17	3,10,9	236	149	1	1.0	NA,1.0,0.306,0.0,NA	0.0,0.503,0.544	0.086
12	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878838	2879070	12	0,73,79,105,79	0,0,8,0,5	13,24,53	0,0,2	310	149	1	1.0	NA,1.0,0.826,1.0,0.884	1.0,1.0,0.927	-0.048
13	"LOC552100"	"LOC552100"	chrNC_037653.1	-	2878223	2879070	2878223	2878677	2878879	2879070	13	2,102,142,158,138	0,6,2,6,9	15,30,67	0,4,2	351	149	0.804597379667	1.0	1.0,0.878,0.968,0.918,0.867	1.0,0.761,0.934	0.028
14	"LOC725251"	"LOC725251"	chrNC_037653.1	+	2823341	2825809	2823341	2823729	2823804	2825809	14	0,17,11,22,3	0,0,1,0,2	86,37,20	35,4,0	224	149	1	1.0	NA,1.0,0.88,1.0,0.499	0.62,0.86,1.0	0.018
15	"LOC413534"	"LOC413534"	chrNC_037653.1	+	1249935	1250292	1249935	1250014	1250191	1250292	15	13,25,15,19,20	0,10,0,4,0	77,27,41	18,0,8	326	149	0.302484315616	0.5511015613277808	1.0,0.533,1.0,0.685,1.0	0.662,1.0,0.701	0.056
16	"LOC413532"	"LOC413532"	chrNC_037653.1	+	1184460	1185296	1184460	1184706	1184795	1185296	16	2,7,1,15,0	0,0,0,0,0	147,8,21	1871,67,173	238	149	1	1.0	1.0,1.0,1.0,1.0,NA	0.047,0.07,0.071	0.937
17	"LOC107965756"	"LOC107965756"	chrNC_037653.1	-	323540	324093	323540	323981	324062	324093	17	0,1,0,0,0	0,0,0,2,0	83,7,56	15,1,18	230	149	1	1.0	NA,1.0,NA,0.0,NA	0.782,0.819,0.668	-0.256
18	"LOC411646"	"LOC411646"	chrNC_037652.1	+	9394320	9394656	9394320	9394420	9394495	9394656	18	17,242,257,254,236	2,42,35,42,52	320,227,270	23,35,62	224	149	0.343292837631	0.6146262150662711	0.85,0.793,0.83,0.801,0.751	0.902,0.812,0.743	-0.014
19	"LOC412789"	"LOC412789"	chrNC_037652.1	+	7886779	7887198	7886779	7886850	7886982	7887198	19	587,2668,965,1657,938	25,297,111,204,126	2533,1214,2276	159,175,221	281	149	0.37877692222	0.6666187421300945	0.926,0.826,0.822,0.812,0.798	0.894,0.786,0.845	-0.005
20	"LOC726548"	"LOC726548"	chrNC_037652.1	-	7819715	7820773	7819715	7820406	7820472	7820773	20	276,1260,1382,1336,1181	15,58,140,41,225	1767,2161,1850	175,124,98	215	149	0.482267571339	0.8148658964003793	0.927,0.938,0.872,0.958,0.784	0.875,0.924,0.929	-0.014
21	"LOC408517"	"LOC408517"	chrNC_037652.1	-	7774331	7777053	7774331	7774545	7774833	7777053	21	2,42,48,35,58	1,49,65,39,7	132,72,61	18,18,2	437	149	0.000105349928912	0.00038862435442137014	0.405,0.226,0.201,0.234,0.739	0.714,0.577,0.912	-0.373
22	"LOC552633"	"LOC552633"	chrNC_037652.1	+	7665740	7666565	7665740	7666046	7666142	7666565	22	110,650,335,648,379	2,49,53,28,34	3527,2827,3695	654,477,658	245	149	2.90730883812e-10	2.6799054735541784e-09	0.971,0.89,0.794,0.934,0.871	0.766,0.783,0.774	0.118
23	"LOC725115"	"LOC725115"	chrNC_037652.1	+	7445726	7446772	7445726	7445790	7446706	7446772	23	969,4559,3140,4439,2896	15,82,99,62,84	6560,3674,7247	322,244,366	1065	149	0	0.0	0.9,0.886,0.816,0.909,0.828	0.74,0.678,0.735	0.15
24	"LOC100577783"	"LOC100577783"	chrNC_037652.1	+	6874316	6877013	6874316	6874475	6875255	6877013	24	0,8,107,24,5	0,0,2,0,0	216,229,158	0,0,0	929	149	1	1.0	NA,1.0,0.896,1.0,1.0	1.0,1.0,1.0	-0.026
25	"Adar"	"Adar"	chrNC_037652.1	-	6313877	6314525	6313877	6314004	6314222	6314525	25	200,1014,1461,1861,1801	0,20,144,65,51	204,639,668	4,33,18	367	149	0.762456069361	1.0	1.0,0.954,0.805,0.921,0.935	0.954,0.887,0.938	-0.003
26	"Adar"	"Adar"	chrNC_037652.1	-	6320141	6320517	6320141	6320250	6320326	6320517	26	51,336,246,341,188	114,579,833,724,462	501,503,569	10813,7512,9499	225	149	0	0.0	0.229,0.278,0.164,0.238,0.212	0.03,0.042,0.038	0.188
27	"LOC412163"	"LOC412163"	chrNC_037652.1	+	5169863	5170227	5169863	5169950	5170037	5170227	27	1484,7339,2432,6191,2344	172,529,298,431,323	1943,714,947	1323,339,605	236	149	0	0.0	0.845,0.898,0.837,0.901,0.821	0.481,0.571,0.497	0.344
28	"LOC410623"	"LOC410623"	chrNC_037652.1	-	5091216	5091668	5091216	5091440	5091518	5091668	28	40,47,222,207,46	3,18,19,49,3	14,33,25	0,0,6	227	149	0.0430606404217	0.10072727696633844	0.897,0.632,0.885,0.735,0.91	1.0,1.0,0.732	-0.099
29	"LOC410624"	"LOC410624"	chrNC_037652.1	+	5072805	5074655	5072805	5074010	5074055	5074655	29	0,0,0,0,0	0,0,7,2,0	93,46,71	0,51,26	194	149	1	1.0	NA,NA,0.0,0.0,NA	1.0,0.409,0.677	-0.695
30	"LOC413032"	"LOC413032"	chrNC_037652.1	-	3839160	3840221	3839160	3839687	3839768	3840221	30	0,6,10,6,0	1,71,69,69,63	8,4,29	293,215,391	230	149	0.221584942882	0.42360489080727315	0.0,0.052,0.086,0.053,0.0	0.017,0.012,0.046	0.013
31	"LOC413032"	"LOC413032"	chrNC_037652.1	-	3840798	3841233	3840798	3841027	3841102	3841233	31	4,0,0,0,5	22,71,14,40,32	7,6,17	129,113,206	224	149	0.0570803246081	0.12867259615046273	0.108,0.0,0.0,0.0,0.094	0.035,0.034,0.052	0.0
32	"LOC409440"	"LOC409440"	chrNC_037652.1	+	3703902	3704188	3703902	3703953	3704024	3704188	32	37,639,64,177,44	0,0,0,0,7	383,115,455	14,0,6	220	149	0.0134912634504	0.03518309880202353	1.0,1.0,1.0,1.0,0.81	0.949,1.0,0.981	-0.015
33	"LOC100577929"	"LOC100577929"	chrNW_020555870.1	-	33315	33827	33315	33531	33629	33827	33	0,5,2,10,0	0,0,1,0,0	32,1,1	9,0,2	247	149	1	1.0	NA,1.0,0.547,1.0,NA	0.682,1.0,0.232	0.211
34	"Tpx-3"	"Tpx-3"	chrNC_037652.1	+	4366332	4366905	4366332	4366493	4366592	4366905	34	454,2867,1778,2440,1256	0,4,2,4,13	4643,3866,5355	16,5,3	248	149	1	1.0	1.0,0.998,0.998,0.997,0.983	0.994,0.998,0.999	-0.002
35	"LOC100578556"	"LOC100578556"	chrNC_037652.1	+	1821600	1822048	1821600	1821844	1821922	1822048	35	3,67,5,11,8	0,5,0,0,0	173,60,212	19,36,48	227	149	1.07170647046e-06	5.637054937843277e-06	1.0,0.898,1.0,1.0,1.0	0.857,0.522,0.744	0.272
36	"LOC100578556"	"LOC100578556"	chrNC_037652.1	+	1821600	1822911	1821600	1822048	1822117	1822911	36	6,44,10,22,4	2,35,0,11,2	203,55,165	138,69,199	218	149	0.0178638961771	0.04569034983758269	0.672,0.462,1.0,0.578,0.578	0.501,0.353,0.362	0.253
37	"LOC409573"	"LOC409573"	chrNC_037652.1	+	1799719	1800350	1799719	1799917	1800007	1800350	37	4,118,214,56,86	0,10,16,0,1	392,460,657	64,87,109	239	149	5.15620257602e-09	3.9347742608808365e-08	1.0,0.88,0.893,1.0,0.982	0.792,0.767,0.79	0.168
38	"LOC411466"	"LOC411466"	chrNC_037652.1	+	628194	628795	628194	628442	628693	628795	38	21,93,69,84,127	2,9,14,14,10	327,291,288	24,16,57	400	149	0.486586357068	0.8191896897473924	0.796,0.794,0.647,0.691,0.826	0.835,0.871,0.653	-0.036
39	"LOC411466"	"LOC411466"	chrNC_037652.1	+	646523	646923	646523	646698	646761	646923	39	41,158,124,218,174	4,22,20,12,9	166,138,194	103,82,100	212	149	0	0.0	0.878,0.835,0.813,0.927,0.931	0.531,0.542,0.577	0.327
40	"LOC411466"	"LOC411466"	chrNC_037652.1	+	646523	646923	646523	646698	646833	646923	40	75,264,218,311,322	15,59,54,81,54	331,246,346	59,40,57	284	149	0.0446913847418	0.10427989773086667	0.724,0.701,0.679,0.668,0.758	0.746,0.763,0.761	-0.051
41	"LOC411466"	"LOC411466"	chrNC_037652.1	+	658778	659504	658778	658909	658995	659504	41	62,218,247,182,358	0,17,26,10,13	1884,939,1007	120,59,56	235	149	0.77225705449	1.0	1.0,0.89,0.858,0.92,0.946	0.909,0.91,0.919	0.01
42	"Metrn"	"Metrn"	chrNC_037651.1	+	10630609	10631335	10630609	10631072	10631142	10631335	42	70,374,350,645,372	4,28,58,35,64	201,162,293	8,27,30	219	149	0.736277607043	1.0	0.923,0.901,0.804,0.926,0.798	0.945,0.803,0.869	-0.002
43	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10602410	10602833	10602410	10602626	10602751	10602833	43	250,851,897,1449,1014	104,344,348,292,428	2685,2278,2096	894,1276,1359	274	149	0.0347113174731	0.0824393789986125	0.567,0.574,0.584,0.73,0.563	0.62,0.493,0.456	0.081
44	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10611482	10611766	10611482	10611582	10611696	10611766	44	236,1661,2341,1910,2218	592,4437,5017,4561,5034	1938,1873,1883	5888,6410,6217	263	149	4.94285632739e-05	0.00019750211333905963	0.184,0.175,0.209,0.192,0.2	0.157,0.142,0.146	0.044
45	"LOC727311"	"LOC727311"	chrNC_037651.1	+	10455948	10456170	10455948	10456021	10456087	10456170	45	0,2,8,2,6	0,13,11,2,19	18,25,40	12,23,9	215	149	1	1.0	NA,0.096,0.335,0.409,0.18	0.51,0.43,0.755	-0.31
46	"LOC409253"	"LOC409253"	chrNC_037651.1	+	10450746	10451211	10450746	10450957	10451056	10451211	46	0,25,31,4,29	109,970,456,557,419	95,78,45	1171,701,1135	248	149	3.35784614114e-07	1.875045356834162e-06	0.0,0.015,0.039,0.004,0.04	0.046,0.063,0.023	-0.024
47	"LOC727238"	"LOC727238"	chrNC_037651.1	+	10041051	10044632	10041051	10044303	10044387	10044632	47	42,311,383,329,331	2,21,25,20,12	307,464,539	2,4,13	233	149	9.15194442452e-09	6.554200199406246e-08	0.931,0.904,0.907,0.913,0.946	0.99,0.987,0.964	-0.06
48	"LOC550799"	"LOC550799"	chrNC_037651.1	+	9073240	9076239	9073240	9073410	9074338	9076239	48	342,3262,1810,2377,1677	38,470,298,337,300	2925,2115,3815	68,39,76	1077	149	0	0.0	0.555,0.49,0.457,0.494,0.436	0.856,0.882,0.874	-0.384
49	"LOC412301"	"LOC412301"	chrNC_037651.1	+	9058811	9059051	9058811	9058839	9058917	9059051	49	121,946,174,274,160	37,279,153,138,99	278,153,271	32,66,103	227	149	0.0324437598087	0.07764817578894524	0.682,0.69,0.427,0.566,0.515	0.851,0.603,0.633	-0.12
50	"LOC412301"	"LOC412301"	chrNC_037651.1	+	9058811	9059051	9058811	9058839	9058920	9059051	50	145,1029,200,297,169	6,85,61,29,18	318,174,291	24,28,35	230	149	0.957998790188	1.0	0.94,0.887,0.68,0.869,0.859	0.896,0.801,0.843	0.0
51	"LOC726373"	"LOC726373"	chrNC_037651.1	-	9030006	9031083	9030006	9030249	9030330	9031083	51	33,271,50,111,74	2,2,3,2,0	441,88,206	11,0,0	230	149	0.706801175305	1.0	0.914,0.989,0.915,0.973,1.0	0.963,1.0,1.0	-0.029
52	"LOC100576925"	"LOC100576925"	chrNC_037651.1	-	8628320	8628833	8628320	8628508	8628602	8628833	52	21,81,38,48,15	0,4,0,0,0	0,15,24	0,0,5	243	149	1	1.0	1.0,0.925,1.0,1.0,1.0	NA,1.0,0.746	0.112
53	"LOC100576925"	"LOC100576925"	chrNC_037651.1	-	8628320	8628833	8628320	8628508	8628615	8628833	53	21,95,44,56,17	7,167,11,77,13	0,16,30	0,64,167	256	149	1	1.0	0.636,0.249,0.7,0.297,0.432	NA,0.127,0.095	0.352
54	"LOC412941"	"LOC412941"	chrNC_037651.1	-	8253349	8254325	8253349	8253748	8253979	8254325	54	26,177,144,162,86	4,0,14,0,10	72,112,69	0,6,4	380	149	0.541693602088	0.8894475194778272	0.718,1.0,0.801,1.0,0.771	1.0,0.88,0.871	-0.059
55	"LOC725056"	"LOC725056"	chrNC_037651.1	+	8245928	8246303	8245928	8246048	8246132	8246303	55	8,40,14,9,6	0,26,20,8,0	84,24,29	43,34,25	233	149	0.167561124388	0.33050721780768644	1.0,0.496,0.309,0.418,1.0	0.555,0.311,0.426	0.214
56	"LOC410509"	"LOC410509"	chrNC_037651.1	+	7702421	7705682	7702421	7705436	7705562	7705682	56	6,122,389,134,72	0,4,4,0,0	45,44,60	0,20,15	275	149	2.10427286707e-09	1.6602356264764155e-08	1.0,0.943,0.981,1.0,1.0	1.0,0.544,0.684	0.242
57	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7454836	7457500	7454836	7456414	7457372	7457500	57	474,3261,2403,5476,2953	369,3245,3119,4456,3631	1425,681,1136	300,253,195	1107	149	0	0.0	0.147,0.119,0.094,0.142,0.099	0.39,0.266,0.439	-0.245
58	"LOC100578862"	"LOC100578862"	chrNC_037651.1	+	7253657	7254263	7253657	7253832	7253889	7254263	58	0,3,0,2,4	0,0,0,0,0	38,12,20	0,0,2	206	149	1	1.0	NA,1.0,NA,1.0,1.0	1.0,1.0,0.879	0.04
60	"LOC724846"	"LOC724846"	chrNC_037651.1	-	6832349	6832695	6832349	6832581	6832663	6832695	60	3,26,4,8,2	0,1,0,0,4	12,9,48	12,4,0	231	149	0.00950795009483	0.025436498673237728	1.0,0.944,1.0,1.0,0.244	0.392,0.592,1.0	0.176
61	"LOC413466"	"LOC413466"	chrNC_037651.1	-	6682530	6683569	6682530	6682961	6683124	6683569	61	4,25,6,34,2	0,6,0,12,2	7,0,10	0,0,0	312	149	1	1.0	1.0,0.666,1.0,0.575,0.323	1.0,NA,1.0	-0.287
62	"LOC413466"	"LOC413466"	chrNC_037651.1	-	6682530	6683569	6682530	6683010	6683124	6683569	62	4,25,6,29,2	0,2,0,0,0	7,0,10	0,0,0	263	149	1	1.0	1.0,0.876,1.0,1.0,1.0	1.0,NA,1.0	-0.025
63	"LOC409753"	"LOC409753"	chrNC_037651.1	+	6507105	6508404	6507105	6507884	6508194	6508404	63	24,293,288,368,235	7,36,68,30,80	938,625,911	43,39,87	459	149	8.48164794964e-06	3.8071488396809135e-05	0.527,0.725,0.579,0.799,0.488	0.876,0.839,0.773	-0.206
66	"LOC100577542"	"LOC100577542"	chrNC_037651.1	+	3857292	3860087	3857292	3858560	3859221	3860087	66	0,0,0,10,0	0,0,0,0,0	55,55,47	8,15,15	810	149	1	1.0	NA,NA,NA,1.0,NA	0.558,0.403,0.366	0.558
68	"LOC100576591"	"LOC100576591"	chrNC_037651.1	+	3410006	3410484	3410006	3410108	3410174	3410484	68	0,2,0,0,0	0,28,39,2,56	2,0,0	13,41,42	215	149	1	1.0	NA,0.047,0.0,0.0,0.0	0.096,0.0,0.0	-0.02
69	"LOC100576591"	"LOC100576591"	chrNC_037651.1	+	3410555	3410945	3410555	3410692	3410787	3410945	69	0,9,3,6,9	4,0,3,0,2	5,1,4	0,0,0	244	149	0.000111364058928	0.0004065879955371294	0.0,1.0,0.379,1.0,0.733	1.0,1.0,1.0	-0.378
70	"LOC100576591"	"LOC100576591"	chrNC_037651.1	+	3410555	3410945	3410555	3410721	3410787	3410945	70	0,6,3,3,3	0,0,0,0,0	5,1,4	0,0,2	215	149	1	1.0	NA,1.0,1.0,1.0,1.0	1.0,1.0,0.581	0.14
71	"LOC413623"	"LOC413623"	chrNC_037651.1	-	2465037	2465574	2465037	2465257	2465392	2465574	71	50,337,199,210,134	0,2,3,2,8	390,277,781	8,6,12	284	149	0.327949981037	0.5894236145665	1.0,0.989,0.972,0.982,0.898	0.962,0.96,0.972	0.004
72	"LOC100577945"	"LOC100577945"	chrNC_037651.1	+	2095523	2097194	2095523	2095598	2096218	2097194	72	109,933,985,1418,1020	1,22,25,16,42	673,273,645	35,3,28	769	149	0.0284789740156	0.06995758524676413	0.955,0.892,0.884,0.945,0.825	0.788,0.946,0.817	0.05
73	"LOC100577945"	"LOC100577945"	chrNC_037651.1	+	2095523	2097194	2095523	2096128	2096218	2097194	73	6,64,72,303,72	0,0,1,9,0	19,4,20	10,3,0	239	149	5.63321800465e-05	0.00021943623273343725	1.0,1.0,0.978,0.955,1.0	0.542,0.454,1.0	0.321
74	"LOC552697"	"LOC552697"	chrNC_037651.1	+	1478680	1479345	1478680	1478857	1478997	1479345	74	12,18,2,11,6	0,2,0,1,2	18,6,25	3,3,6	289	149	0.00234311208351	0.006838361597955518	1.0,0.823,1.0,0.85,0.607	0.756,0.508,0.682	0.207
75	"LOC724962"	"LOC724962"	chrNC_037650.1	-	10469347	10470244	10469347	10470082	10470152	10470244	75	1,23,29,20,4	0,0,0,0,1	54,45,54	24,0,17	219	149	2.0818933022e-08	1.3844590459630001e-07	1.0,1.0,1.0,1.0,0.731	0.605,1.0,0.684	0.183
76	"LOC551363"	"LOC551363"	chrNC_037650.1	-	10324190	10324763	10324190	10324356	10324532	10324763	76	16,80,60,41,79	33,114,35,52,12	270,92,119	211,39,166	325	149	0.930570547645	1.0	0.182,0.243,0.44,0.266,0.751	0.37,0.52,0.247	-0.003
77	"LOC725111"	"LOC725111"	chrNC_037650.1	-	10101111	10101312	10101111	10101131	10101251	10101312	77	1,18,25,30,9	0,0,2,2,4	1268,562,1192	72,75,112	269	149	0.404175660441	0.7026262334716846	1.0,1.0,0.874,0.893,0.555	0.907,0.806,0.855	0.008
78	"LOC409050"	"LOC409050"	chrNC_037650.1	+	7316911	7318914	7316911	7317221	7317812	7318914	78	16,71,47,37,25	0,3,0,0,0	175,42,46	0,0,0	740	149	1	1.0	1.0,0.827,1.0,1.0,1.0	1.0,1.0,1.0	-0.035
79	"LOC100577543"	"LOC100577543"	chrNC_037650.1	-	5909253	5910923	5909253	5910008	5910099	5910923	79	0,6,1,2,0	10,45,12,84,0	8,2,2	0,3,0	240	149	1	1.0	0.0,0.076,0.049,0.015,NA	1.0,0.293,1.0	-0.729
82	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4501410	4502685	4501410	4502130	4502197	4502685	82	0,0,4,3,0	14,0,0,0,0	0,3,7	0,1,2	216	149	1	1.0	0.0,NA,1.0,1.0,NA	NA,0.674,0.707	-0.024
83	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4501410	4502685	4501410	4502306	4502508	4502685	83	0,4,3,7,0	0,0,1,4,0	2,1,10	0,0,0	351	149	1	1.0	NA,1.0,0.56,0.426,NA	1.0,1.0,1.0	-0.338
84	"LOC102653850"	"LOC102653850"	chrNC_037653.1	-	4503435	4503855	4503435	4503549	4503603	4503855	84	0,0,0,0,0	5,1,2,1,1	0,13,16	0,21,18	203	149	1	1.0	0.0,0.0,0.0,0.0,0.0	NA,0.312,0.395	-0.354
85	"LOC102654051"	"LOC102654051"	chrNC_037650.1	-	5839350	5840248	5839350	5839610	5839668	5840248	85	2,8,0,32,22	8,4,0,0,12	40,26,35	17,7,33	207	149	1	1.0	0.153,0.59,NA,1.0,0.569	0.629,0.728,0.433	-0.019
86	"LOC410442"	"LOC410442"	chrNC_037650.1	+	5264844	5265159	5264844	5264920	5265001	5265159	86	96,456,410,392,360	21,23,230,92,96	279,453,362	495,403,723	230	149	1.22124532709e-15	1.6969841783892387e-14	0.748,0.928,0.536,0.734,0.708	0.267,0.421,0.245	0.42
87	"LOC107964603"	"LOC107964603"	chrNC_037643.1	-	6517261	6517881	6517261	6517348	6517579	6517881	87	4,4,10,0,13	0,0,0,0,0	84,12,8	9,2,0	380	149	1	1.0	1.0,1.0,1.0,NA,1.0	0.785,0.702,1.0	0.171
88	"LOC725246"	"LOC725246"	chrNC_037649.1	-	981131	982970	981131	981549	981736	982970	88	27,162,28,79,64	2,131,46,35,32	2,0,0	0,8,2	336	149	0.00320453204288	0.009095790646101463	0.857,0.354,0.213,0.5,0.47	1.0,0.0,0.0	0.145
90	"LOC102653687"	"LOC102653687"	chrNC_037643.1	+	5045829	5046186	5045829	5045945	5046019	5046186	90	0,0,0,0,7	0,0,0,0,0	32,6,17	4,5,31	223	149	1	1.0	NA,NA,NA,NA,1.0	0.842,0.445,0.268	0.482
91	"LOC100577651"	"LOC100577651"	chrNC_037648.1	+	385592	386256	385592	385709	385949	386256	91	14,48,60,43,52	0,0,5,0,5	212,65,74	4,2,3	389	149	0.757697554177	1.0	1.0,1.0,0.821,1.0,0.799	0.953,0.926,0.904	-0.004
92	"LOC413447"	"LOC413447"	chrNC_037643.1	-	2386574	2386828	2386574	2386646	2386707	2386828	92	108,951,286,764,236	0,58,13,27,8	1110,827,1586	193,68,159	210	149	9.17710352155e-13	1.0548004171065493e-11	1.0,0.921,0.94,0.953,0.954	0.803,0.896,0.876	0.095
93	"TpnT"	"TpnT"	chrNC_037643.1	+	2068302	2068333	2068302	2068330	2068331	2068333	93	1817,9639,13046,12288,11937	23306,123705,169024,190879,154777	19,33,23	237,313,310	150	149	0.429365982873	0.7430106506594107	0.072,0.072,0.071,0.06,0.071	0.074,0.095,0.069	-0.01
94	"LOC100577498"	"LOC100577498"	chrNC_037644.1	-	13518513	13523129	13518513	13520206	13520266	13523129	94	215,1892,4162,2149,3077	18,91,265,74,231	121,132,117	15,26,36	209	149	4.208211557e-11	4.0390154222340204e-10	0.895,0.937,0.918,0.954,0.905	0.852,0.784,0.699	0.143
95	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13714903	13715960	13716548	95	338,3299,3194,3591,4168	0,3,0,4,1	2827,2755,2324	0,0,0	1206	149	1	1.0	1.0,0.993,1.0,0.991,0.998	1.0,1.0,1.0	-0.004
96	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13715460	13715960	13716548	96	97,1132,1062,1281,1361	6,37,83,61,81	1076,671,833	0,0,0	649	149	0	0.0	0.788,0.875,0.746,0.828,0.794	1.0,1.0,1.0	-0.194
97	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13715460	13716041	13716548	97	163,1436,1371,1570,1768	8,63,71,96,94	1273,840,1048	0,12,0	730	149	0	0.0	0.806,0.823,0.798,0.769,0.793	1.0,0.935,1.0	-0.181
98	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13714903	13716350	13716548	98	524,4437,4445,4887,5420	20,36,78,39,139	3433,3231,2972	84,51,27	1596	149	0.852908790688	1.0	0.71,0.92,0.842,0.921,0.784	0.792,0.855,0.911	-0.017
99	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13714656	13715460	13716350	13716548	99	283,2270,2313,2577,2613	2,28,15,6,18	1682,1147,1481	6,4,2	1039	149	0.000646932660041	0.002128248432855728	0.953,0.921,0.957,0.984,0.954	0.976,0.976,0.991	-0.027
100	"LOC408315"	"LOC408315"	chrNC_037648.1	+	14080787	14084011	14080787	14081776	14082033	14084011	100	11,56,14,9,17	22,125,13,2,10	127,4,37	362,45,132	406	149	0.000636717895111	0.0021020721998168124	0.155,0.141,0.283,0.623,0.384	0.114,0.032,0.093	0.238
101	"LOC408315"	"LOC408315"	chrNC_037648.1	+	14080787	14084011	14080787	14082455	14082613	14084011	101	56,272,50,68,52	9,134,63,59,70	313,48,72	240,364,499	307	149	5.28860940487e-05	0.0002086311591497445	0.751,0.496,0.278,0.359,0.265	0.388,0.06,0.065	0.259
102	"LOC726654"	"LOC726654"	chrNC_037642.1	-	13575948	13576519	13575948	13576113	13576245	13576519	102	112,696,1173,1043,1117	60,1719,2278,2051,1444	23,62,43	146,412,305	281	149	2.65343302885e-14	3.4793607744497887e-13	0.497,0.177,0.214,0.212,0.291	0.077,0.074,0.07	0.205
103	"LOC552797"	"LOC552797"	chrNC_037642.1	+	13445425	13446029	13445425	13445683	13445857	13446029	103	3,18,23,6,8	0,2,0,0,0	50,70,52	5,0,1	323	149	0.0568215993975	0.12840026465794296	1.0,0.806,1.0,1.0,1.0	0.822,1.0,0.96	0.034
