ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"LOC113219301"	NA	chrNC_037653.1	-	7136424	7136649	7133720	7133782	7137856	7137951	12	85,612,387,457,152	0,0,2,0,0	762,735,1283	0,0,0	298	149	1	1.0	1.0,1.0,0.99,1.0,1.0	1.0,1.0,1.0	-0.002
13	"LOC113219301"	NA	chrNC_037653.1	-	7137856	7137951	7136424	7136649	7138389	7138581	13	36,204,89,149,66	0,0,0,0,0	271,239,375	1,0,1	244	149	1	1.0	1.0,1.0,1.0,1.0,1.0	0.994,1.0,0.996	0.003
14	"LOC408551"	NA	chrNC_037653.1	+	7021663	7021708	7011976	7012162	7022058	7022280	14	88,724,919,604,592	0,0,0,0,0	367,745,579	1,0,0	194	149	1	1.0	1.0,1.0,1.0,1.0,1.0	0.996,1.0,1.0	0.001
15	"LOC408551"	NA	chrNC_037653.1	+	7022058	7022280	7011976	7012162	7023000	7023063	15	54,488,593,449,529	0,0,0,0,0	336,527,482	1,8,0	298	149	0.911466905513	1.0	1.0,1.0,1.0,1.0,1.0	0.994,0.971,1.0	0.012
16	"LOC408552"	NA	chrNC_037653.1	-	6985997	6986136	6985468	6985582	6990904	6990947	16	109,980,961,746,810	0,0,2,0,0	472,448,644	0,0,0	288	149	1	1.0	1.0,1.0,0.996,1.0,1.0	1.0,1.0,1.0	-0.001
17	"LOC408552"	NA	chrNC_037653.1	-	6990904	6990947	6985997	6986136	6991862	6992150	17	48,381,337,385,366	0,1,0,4,2	130,225,248	0,0,5	192	149	1	1.0	1.0,0.997,1.0,0.987,0.993	1.0,1.0,0.975	0.004
18	"LOC100578001"	NA	chrNC_037653.1	+	6962602	6962735	6962023	6962387	6964512	6965101	18	2,13,81,0,68	0,0,0,0,0	410,344,418	0,21,0	282	149	1	1.0	1.0,1.0,1.0,NA,1.0	1.0,0.896,1.0	0.035
19	"LOC102655737"	NA	chrNC_037653.1	-	6911184	6911375	6903653	6903843	6913009	6913200	19	0,1,32,17,33	8,8,11,10,31	20,19,6	43,94,22	298	149	0.0263471033775	0.09829009922744927	0.0,0.059,0.593,0.459,0.347	0.189,0.092,0.12	0.158
20	"LOC102655737"	NA	chrNC_037653.1	-	6912043	6912278	6911846	6911947	6913009	6913200	20	0,1,6,0,20	0,0,2,0,0	8,18,20	0,0,0	298	149	1	1.0	NA,1.0,0.6,NA,1.0	1.0,1.0,1.0	-0.133
21	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6903653	6903843	6918057	6918249	21	8,16,17,11,39	0,0,1,0,2	45,98,22	0,6,5	298	149	0.000371671608715	0.0018165064820334996	1.0,1.0,0.895,1.0,0.907	1.0,0.891,0.688	0.101
22	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6911184	6911375	6918057	6918249	22	0,8,10,5,12	0,2,2,0,3	6,5,0	0,1,2	298	149	1	1.0	NA,0.667,0.714,1.0,0.667	1.0,0.714,0.0	0.191
23	"LOC102655737"	NA	chrNC_037653.1	-	6913009	6913200	6911476	6911947	6918057	6918249	23	0,8,8,1,8	0,0,0,0,0	2,4,0	0,4,1	298	149	1	1.0	NA,1.0,1.0,1.0,1.0	1.0,0.333,0.0	0.556
24	"LOC102655737"	NA	chrNC_037653.1	-	6923806	6923851	6921909	6922101	6924024	6925478	24	5,2,7,5,10	0,0,8,12,9	0,0,0	18,27,13	194	149	5.2716608856e-11	4.92088825352869e-10	1.0,1.0,0.402,0.242,0.46	0.0,0.0,0.0	0.621
25	"LOC102655737"	NA	chrNC_037653.1	-	6923806	6923854	6921909	6922101	6924024	6925478	25	6,17,31,14,22	0,0,8,12,9	0,0,0	18,27,13	197	149	0	0.0	1.0,1.0,0.746,0.469,0.649	0.0,0.0,0.0	0.773
26	"LOC102655737"	NA	chrNC_037653.1	-	6952470	6952570	6924024	6925478	6952848	6953297	26	4,33,26,20,42	0,6,0,0,16	2,0,16	0,0,0	249	149	1	1.0	1.0,0.767,1.0,1.0,0.611	1.0,NA,1.0	-0.124
27	"LOC410639"	NA	chrNC_037653.1	+	6748471	6748601	6747391	6747625	6748748	6749009	27	0,6,41,4,22	0,0,0,0,0	531,1040,897	0,9,0	279	149	1	1.0	NA,1.0,1.0,1.0,1.0	1.0,0.984,1.0	0.005
28	"LOC410658"	NA	chrNC_037653.1	-	6689118	6689321	6688838	6689031	6690224	6690399	28	0,0,13,6,0	0,0,0,0,0	54,55,21	0,2,0	298	149	1	1.0	NA,NA,1.0,1.0,NA	1.0,0.932,1.0	0.023
29	"LOC410658"	NA	chrNC_037653.1	-	6689118	6689330	6688838	6689031	6690224	6690399	29	0,0,13,2,0	0,0,0,0,0	56,53,26	0,2,0	298	149	1	1.0	NA,NA,1.0,1.0,NA	1.0,0.93,1.0	0.023
31	"LOC551685"	NA	chrNC_037653.1	+	6617671	6617731	6609765	6609999	6619298	6619646	31	8,69,212,103,81	0,0,0,0,0	2908,3251,5067	961,693,1356	209	149	0	0.0	1.0,1.0,1.0,1.0,1.0	0.683,0.77,0.727	0.273
32	"LOC551685"	NA	chrNC_037653.1	+	6618561	6618613	6617671	6617731	6619298	6619646	32	0,8,12,7,6	8,61,164,72,74	108,192,367	2057,2230,3607	201	149	0.804516191132	1.0	0.0,0.089,0.051,0.067,0.057	0.037,0.06,0.07	-0.003
33	"LOC408562"	NA	chrNC_037653.1	+	6539831	6539935	6456566	6461101	6573547	6574271	33	11,88,103,152,58	0,0,0,0,0	60,75,102	0,0,2	253	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.968	0.011
34	"LOC408562"	NA	chrNC_037653.1	+	6573547	6574271	6539831	6539935	6600321	6600463	34	11,56,49,95,30	0,8,0,2,1	23,38,53	0,10,0	298	149	0.376411575976	1.0	1.0,0.778,1.0,0.96,0.938	1.0,0.655,1.0	0.05
35	"LOC408562"	NA	chrNC_037653.1	+	6600321	6600463	6539831	6539935	6601192	6601303	35	70,399,581,374,464	0,0,0,0,0	709,747,917	0,1,0	291	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.997,1.0	0.001
36	"LOC408562"	NA	chrNC_037653.1	+	6600321	6600463	6539831	6539935	6603580	6603628	36	8,34,10,18,2	0,0,0,0,0	4,57,48	0,1,0	291	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.967,1.0	0.011
37	"LOC408562"	NA	chrNC_037653.1	+	6601192	6601303	6539831	6539935	6603580	6603628	37	82,384,548,337,503	0,0,0,0,0	774,794,1049	0,1,0	260	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.998,1.0	0.001
38	"LOC408562"	NA	chrNC_037653.1	+	6601192	6601303	6600321	6600463	6603580	6603628	38	151,777,1130,705,958	8,26,10,16,1	1475,1521,1978	4,47,48	260	149	0.263754886738	0.8094889300262991	0.915,0.945,0.985,0.962,0.998	0.995,0.949,0.959	-0.007
39	"LOC408562"	NA	chrNC_037653.1	+	6604070	6604133	6603705	6603788	6606044	6606173	39	160,1047,1323,1013,1139	0,9,0,0,0	173,133,250	1160,970,1490	212	149	0	0.0	1.0,0.988,1.0,1.0,1.0	0.095,0.088,0.105	0.902
40	"LOC100578474"	NA	chrNC_037653.1	+	6421612	6421725	6402003	6404682	6455803	6455903	40	4,34,34,26,62	0,0,0,12,6	81,48,98	15,2,19	262	149	0.0969524379757	0.3264389922863646	1.0,1.0,1.0,0.552,0.855	0.754,0.932,0.746	0.071
41	"LOC413408"	NA	chrNC_037653.1	-	6276628	6277630	6267059	6267151	6288806	6289809	41	10,6,58,26,41	0,0,2,0,1	10,0,27	0,0,0	298	149	1	1.0	1.0,1.0,0.935,1.0,0.953	1.0,NA,1.0	-0.022
42	"LOC410655"	NA	chrNC_037653.1	-	6019402	6019447	6012316	6012382	6019873	6020023	42	3,27,30,29,8	0,0,0,6,0	569,392,536	2,2,0	194	149	0.595207749892	1.0	1.0,1.0,1.0,0.788,1.0	0.995,0.993,1.0	-0.038
43	"LOC408561"	NA	chrNC_037653.1	-	5876962	5877011	5876605	5876690	5878545	5878627	43	1183,7875,14243,8901,14192	26,163,238,215,326	303,231,178	1,0,4	198	149	0.000260956008711	0.0012961396180560007	0.972,0.973,0.978,0.969,0.97	0.996,1.0,0.971	-0.017
44	"LOC408561"	NA	chrNC_037653.1	-	5876962	5877011	5876605	5876690	5890137	5890314	44	376,2387,4604,2307,4226	0,20,24,12,37	82,93,72	0,0,4	198	149	0.621737497111	1.0	1.0,0.989,0.993,0.993,0.988	1.0,1.0,0.931	0.016
45	"LOC408561"	NA	chrNC_037653.1	-	5878545	5878627	5876605	5876690	5890137	5890314	45	16,80,169,108,185	0,20,24,12,37	4,1,4	0,0,4	231	149	0.425842158421	1.0	1.0,0.721,0.82,0.853,0.763	1.0,1.0,0.392	0.034
46	"LOC408561"	NA	chrNC_037653.1	-	5878545	5878627	5876962	5877011	5880614	5880732	46	1674,10438,17817,12918,18749	0,0,0,0,4	391,269,281	0,0,0	231	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.0
47	"LOC408561"	NA	chrNC_037653.1	-	5878545	5878627	5876962	5877011	5890137	5890314	47	596,4101,6978,5001,7154	0,1,4,1,2	165,112,81	0,5,0	231	149	0.529651560324	1.0	1.0,1.0,0.999,1.0,1.0	1.0,0.935,1.0	0.021
48	"LOC408561"	NA	chrNC_037653.1	-	5880614	5880732	5878545	5878627	5880806	5880936	48	2015,11597,20363,13741,21752	0,1,0,0,0	376,244,404	0,0,0	267	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.0
49	"LOC408561"	NA	chrNC_037653.1	-	5880806	5880936	5878545	5878627	5890137	5890453	49	14,247,276,134,160	0,0,22,0,0	24,1,5	4,1,0	279	149	0.67489563284	1.0	1.0,1.0,0.87,1.0,1.0	0.762,0.348,1.0	0.271
50	"LOC408561"	NA	chrNC_037653.1	-	5881604	5881762	5880806	5880936	5890137	5890314	50	1855,11659,20145,12640,21070	15,254,282,146,179	156,225,325	24,1,5	298	149	0.000506004958352	0.0024299889898280126	0.984,0.958,0.973,0.977,0.983	0.765,0.991,0.97	0.066
51	"LOC550708"	NA	chrNC_037653.1	-	5290329	5290549	5289462	5289773	5802397	5802549	51	2,162,285,115,132	0,0,0,0,0	253,358,405	0,4,2	298	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.978,0.99	0.011
52	"LOC411815"	NA	chrNC_037653.1	-	5277808	5278004	5277433	5277619	5278121	5278358	52	30,319,141,249,92	16,83,26,68,10	683,497,1018	0,5,6	298	149	0	0.0	0.484,0.658,0.731,0.647,0.821	1.0,0.98,0.988	-0.321
53	"LOC552113"	NA	chrNC_037653.1	-	5246516	5246674	5246163	5246317	5247019	5247157	53	58,596,224,359,165	0,0,0,0,0	801,463,1241	3,2,9	298	149	1	1.0	1.0,1.0,1.0,1.0,1.0	0.993,0.991,0.986	0.01
54	"LOC552113"	NA	chrNC_037653.1	-	5251787	5252001	5251448	5251599	5257044	5257061	54	0,49,20,24,17	0,8,3,0,10	59,55,167	0,0,8	298	149	1	1.0	NA,0.754,0.769,1.0,0.459	1.0,1.0,0.913	-0.226
55	"LOC552113"	NA	chrNC_037653.1	-	5251787	5252001	5251448	5251599	5257876	5258073	55	0,60,29,40,18	50,529,413,402,271	88,77,198	478,544,757	298	149	3.01653146906e-11	2.856351309656426e-10	0.0,0.054,0.034,0.047,0.032	0.084,0.066,0.116	-0.055
56	"LOC113219314"	NA	chrNC_037653.1	+	5230205	5230406	5228753	5228982	5231203	5231552	56	32,95,36,63,20	0,2,3,12,2	10,0,2	0,2,0	298	149	0.417131658471	1.0	1.0,0.96,0.857,0.724,0.833	1.0,0.0,1.0	0.208
57	"LOC552610"	NA	chrNC_037653.1	-	5218845	5218919	5218062	5218359	5219079	5219294	57	1569,10239,6021,8729,6224	0,0,0,0,0	5327,5630,5676	0,0,2	223	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.999	0.0
58	"LOC552597"	NA	chrNC_037653.1	+	5216049	5216129	5215813	5215949	5216541	5216669	58	26,138,44,143,48	2,2,0,3,0	447,223,383	0,0,0	229	149	0.681533245603	1.0	0.894,0.978,1.0,0.969,1.0	1.0,1.0,1.0	-0.032
59	"LOC726021"	NA	chrNC_037653.1	-	5165508	5165517	5164419	5165311	5166438	5166463	59	0,6,12,0,0	2,1,30,0,23	0,2,0	0,4,0	158	149	1	1.0	0.0,0.85,0.274,NA,0.0	NA,0.32,NA	-0.039
61	"LOC726021"	NA	chrNC_037653.1	-	5165508	5165517	5164419	5165311	5167093	5167167	61	0,0,4,0,0	67,528,635,561,325	0,8,5	535,788,890	158	149	1	1.0	0.0,0.0,0.006,0.0,0.0	0.0,0.009,0.005	-0.003
63	"LOC726021"	NA	chrNC_037653.1	-	5166438	5166463	5165173	5165311	5167093	5167167	63	2,2,30,0,15	67,528,635,561,325	0,4,0	535,788,890	174	149	0.00223452786667	0.009828359323025636	0.025,0.003,0.039,0.0,0.038	0.0,0.004,0.0	0.02
64	"LOC726021"	NA	chrNC_037653.1	-	5166438	5166463	5165508	5165517	5167093	5167167	64	0,7,12,0,0	0,0,4,0,0	0,2,0	0,8,5	174	149	1	1.0	NA,1.0,0.72,NA,NA	NA,0.176,0.0	0.772
65	"LOC726021"	NA	chrNC_037653.1	-	5166447	5166463	5165173	5165311	5167093	5167167	65	0,13,17,0,3	67,528,635,561,325	0,0,0	535,788,890	165	149	0.416797052792	1.0	0.0,0.022,0.024,0.0,0.008	0.0,0.0,0.0	0.011
66	"LOC726021"	NA	chrNC_037653.1	-	5166447	5166463	5165508	5165517	5167093	5167167	66	0,2,0,0,0	0,0,4,0,0	0,0,0	0,8,5	165	149	1	1.0	NA,1.0,0.0,NA,NA	NA,0.0,0.0	0.5
67	"LOC726021"	NA	chrNC_037653.1	-	5167093	5167167	5164419	5165311	5168066	5168180	67	103,729,839,760,495	8,5,23,8,3	794,1081,1125	24,35,47	223	149	1.0412626205e-05	6.046394591908489e-05	0.896,0.99,0.961,0.984,0.991	0.957,0.954,0.941	0.014
69	"LOC726021"	NA	chrNC_037653.1	-	5168824	5168848	5168616	5168652	5169022	5169154	69	49,261,292,240,195	0,4,28,36,15	356,519,462	0,0,0	173	149	0	0.0	1.0,0.983,0.9,0.852,0.918	1.0,1.0,1.0	-0.069
70	"LOC726021"	NA	chrNC_037653.1	-	5187459	5187663	5169302	5169417	5202358	5202481	70	11,270,185,152,63	0,2,0,0,0	87,178,180	0,10,0	298	149	0.0154907134091	0.06021975221846308	1.0,0.985,1.0,1.0,1.0	1.0,0.899,1.0	0.031
71	"LOC726021"	NA	chrNC_037653.1	-	5205583	5205641	5202358	5202481	5206221	5206446	71	1,98,63,52,90	12,70,88,33,48	123,136,215	14,29,55	207	149	5.64483296328e-07	3.7766936034840094e-06	0.057,0.502,0.34,0.531,0.574	0.863,0.771,0.738	-0.39
72	"LOC409891"	NA	chrNC_037653.1	+	5153616	5153894	5153234	5153460	5154593	5154849	72	22,304,227,157,202	0,0,0,0,0	1107,1042,1390	0,2,0	298	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.996,1.0	0.001
73	"LOC409891"	NA	chrNC_037653.1	+	5153616	5153894	5153234	5153460	5155781	5155847	73	17,221,109,127,135	0,0,0,0,0	583,451,698	3,0,7	298	149	0.922067075938	1.0	1.0,1.0,1.0,1.0,1.0	0.99,1.0,0.98	0.01
74	"LOC409891"	NA	chrNC_037653.1	+	5154593	5154849	5153234	5153460	5155781	5155847	74	14,117,70,103,93	0,0,0,0,0	405,384,574	3,0,7	298	149	0.724967953542	1.0	1.0,1.0,1.0,1.0,1.0	0.985,1.0,0.976	0.013
75	"LOC409891"	NA	chrNC_037653.1	+	5154593	5154849	5153616	5153894	5155781	5155847	75	20,253,224,178,199	1,53,36,45,39	970,1065,1336	41,92,70	298	149	1.8184087569e-10	1.6306559072756635e-09	0.909,0.705,0.757,0.664,0.718	0.922,0.853,0.905	-0.143
76	"LOC409891"	NA	chrNC_037653.1	+	5155781	5155847	5153616	5153894	5155951	5156155	76	15,249,70,181,102	0,0,0,0,0	497,395,531	0,3,14	215	149	0.256865260149	0.7901875901795375	1.0,1.0,1.0,1.0,1.0	1.0,0.989,0.963	0.016
77	"LOC409890"	NA	chrNC_037653.1	-	5147924	5148278	5146774	5147693	5149191	5149619	77	2959,25008,21508,19739,16417	0,0,8,10,12	59882,59177,67104	20,19,18	298	149	1	1.0	1.0,1.0,0.999,0.999,0.999	0.999,0.999,0.999	0.0
78	"LOC113219311"	NA	chrNC_037653.1	+	4971299	4971379	4970090	4970611	4972246	4972450	78	0,0,1,0,3	0,0,0,0,0	0,0,10	0,0,2	229	149	1	1.0	NA,NA,1.0,NA,1.0	NA,NA,0.765	0.235
79	"LOC409655"	NA	chrNC_037653.1	+	5012322	5012399	5012026	5012178	5012565	5012646	79	496,4892,10378,4499,5367	0,0,0,8,0	2275,1844,2106	0,0,0	226	149	1	1.0	1.0,1.0,1.0,0.997,1.0	1.0,1.0,1.0	-0.001
80	"LOC409655"	NA	chrNC_037653.1	+	5023387	5023474	4968146	4968784	5040604	5040652	80	7,91,230,123,145	0,2,0,0,0	0,3,0	0,0,0	236	149	1	1.0	1.0,0.966,1.0,1.0,1.0	NA,1.0,NA	-0.007
81	"LOC409655"	NA	chrNC_037653.1	+	5023387	5023474	4968146	4968784	5073365	5073570	81	0,25,16,8,15	0,0,9,0,0	0,2,0	0,0,0	236	149	1	1.0	NA,1.0,0.529,1.0,1.0	NA,1.0,NA	-0.118
82	"LOC409655"	NA	chrNC_037653.1	+	5035997	5036102	5023387	5023474	5040604	5040652	82	12,11,93,23,18	12,143,310,149,174	13,15,27	0,1,0	254	149	0	0.0	0.37,0.043,0.15,0.083,0.057	1.0,0.898,1.0	-0.825
83	"LOC409655"	NA	chrNC_037653.1	+	5035997	5036102	5023387	5023474	5042289	5042486	83	7,30,108,33,26	71,952,2079,1447,1206	25,54,39	301,373,295	254	149	0	0.0	0.055,0.018,0.03,0.013,0.012	0.046,0.078,0.072	-0.04
85	"LOC409655"	NA	chrNC_037653.1	+	5035997	5036102	5026263	5032972	5042289	5042486	85	6,13,37,10,8	82,749,2399,730,1023	12,26,10	6,0,2	254	149	0	0.0	0.041,0.01,0.009,0.008,0.005	0.54,1.0,0.746	-0.747
86	"LOC409655"	NA	chrNC_037653.1	+	5040604	5040652	5023387	5023474	5042289	5042486	86	104,1453,3263,1534,2546	71,952,2079,1447,1206	0,8,1	301,373,295	197	149	0	0.0	0.526,0.536,0.543,0.445,0.615	0.0,0.016,0.003	0.527
87	"LOC409655"	NA	chrNC_037653.1	+	5040604	5040652	5026263	5032972	5042289	5042486	87	95,1323,2978,1394,2418	82,749,2399,730,1023	0,8,1	6,0,2	197	149	0.373986623107	1.0	0.467,0.572,0.484,0.591,0.641	0.0,1.0,0.274	0.126
88	"LOC409655"	NA	chrNC_037653.1	+	5040604	5040652	5035997	5036102	5042289	5042486	88	103,1315,2988,1389,2393	6,25,49,10,14	0,8,1	17,44,16	197	149	0	0.0	0.928,0.975,0.979,0.991,0.992	0.0,0.121,0.045	0.918
89	"LOC409655"	NA	chrNC_037653.1	+	5042289	5042486	5023387	5023474	5043133	5043335	89	549,6910,14814,8282,10229	0,1,0,0,0	972,1265,1282	0,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0	0.0
90	"LOC409655"	NA	chrNC_037653.1	+	5043934	5044074	5023387	5023474	5045577	5045716	90	1,2,12,9,7	0,10,47,13,11	2,4,3	0,1,0	289	149	7.44932182051e-07	4.914770542150521e-06	1.0,0.093,0.116,0.263,0.247	1.0,0.673,1.0	-0.547
91	"LOC409655"	NA	chrNC_037653.1	+	5043934	5044074	5043593	5043695	5044457	5044530	91	979,11096,23205,13046,17478	9,39,156,45,70	952,553,692	0,4,0	289	149	0.659849841247	1.0	0.982,0.993,0.987,0.993,0.992	1.0,0.986,1.0	-0.006
92	"LOC409655"	NA	chrNC_037653.1	+	5043934	5044074	5043593	5043695	5045577	5045716	92	586,5779,12073,5766,9324	37,639,1250,894,822	500,314,394	200,509,559	289	149	1.11022302463e-15	1.3542028490868496e-14	0.891,0.823,0.833,0.769,0.854	0.563,0.241,0.267	0.477
93	"LOC409655"	NA	chrNC_037653.1	+	5044457	5044530	5043593	5043695	5044798	5044834	93	83,644,988,564,1042	0,0,4,0,0	4,27,14	0,0,0	222	149	1	1.0	1.0,1.0,0.994,1.0,1.0	1.0,1.0,1.0	-0.001
94	"LOC409655"	NA	chrNC_037653.1	+	5044457	5044530	5043593	5043695	5045577	5045716	94	244,2169,6048,2161,4163	37,639,1250,894,822	67,55,47	200,509,559	222	149	0	0.0	0.816,0.695,0.765,0.619,0.773	0.184,0.068,0.053	0.632
95	"LOC409655"	NA	chrNC_037653.1	+	5044457	5044530	5043934	5044074	5045577	5045716	95	569,6682,15768,8221,11305	0,2,12,9,7	410,226,246	2,4,3	222	149	0.685568623077	1.0	1.0,1.0,0.999,0.998,0.999	0.993,0.974,0.982	0.016
96	"LOC409655"	NA	chrNC_037653.1	+	5044798	5044834	5043593	5043695	5045577	5045716	96	22,288,527,192,459	37,639,1250,894,822	4,6,4	200,509,559	185	149	0	0.0	0.324,0.266,0.253,0.147,0.31	0.016,0.009,0.006	0.25
97	"LOC409655"	NA	chrNC_037653.1	+	5044798	5044834	5044457	5044530	5045577	5045716	97	123,1258,1957,992,2032	351,3749,9275,4094,6476	11,22,22	149,83,69	185	149	0.0265563048834	0.09902733750785507	0.22,0.213,0.145,0.163,0.202	0.056,0.176,0.204	0.043
98	"LOC409655"	NA	chrNC_037653.1	+	5047423	5047456	5023387	5023474	5051230	5051286	98	115,1161,2800,1468,1835	0,34,94,48,28	206,291,232	0,0,0	182	149	1.1506292652e-07	8.229573845330489e-07	1.0,0.965,0.961,0.962,0.982	1.0,1.0,1.0	-0.026
101	"LOC409655"	NA	chrNC_037653.1	+	5047423	5047456	5045931	5046043	5048272	5048356	101	125,1083,3066,1414,1941	0,5,6,4,18	319,394,471	0,0,0	182	149	1	1.0	1.0,0.994,0.998,0.997,0.989	1.0,1.0,1.0	-0.004
102	"LOC409655"	NA	chrNC_037653.1	+	5047423	5047456	5045931	5046043	5051230	5051286	102	582,6373,15891,7899,10082	197,2982,5506,3291,5101	1419,1346,1490	51,102,89	182	149	0	0.0	0.707,0.636,0.703,0.663,0.618	0.958,0.915,0.932	-0.27
103	"LOC409655"	NA	chrNC_037653.1	+	5047423	5047456	5045931	5046043	5073365	5073570	103	125,1083,3051,1405,1910	0,1,8,0,2	310,383,465	0,0,0	182	149	1	1.0	1.0,0.999,0.997,1.0,0.999	1.0,1.0,1.0	-0.001
104	"LOC409655"	NA	chrNC_037653.1	+	5048245	5048356	5047423	5047456	5051230	5051286	104	2,27,71,28,58	457,5334,13024,6555,8279	8,1,6	1162,982,1031	260	149	1	1.0	0.003,0.003,0.003,0.002,0.004	0.004,0.001,0.003	0.0
105	"LOC409655"	NA	chrNC_037653.1	+	5048272	5048356	5045931	5046043	5051230	5051286	105	2,13,41,12,33	197,2982,5506,3291,5101	0,1,0	51,102,89	233	149	1	1.0	0.006,0.003,0.005,0.002,0.004	0.0,0.006,0.0	0.002
106	"LOC409655"	NA	chrNC_037653.1	+	5048272	5048356	5047423	5047456	5051230	5051286	106	2,10,36,15,39	457,5334,13024,6555,8279	9,11,6	1162,982,1031	233	149	1	1.0	0.003,0.001,0.002,0.001,0.003	0.005,0.007,0.004	-0.003
107	"LOC409655"	NA	chrNC_037653.1	+	5052756	5057763	5051575	5051745	5058471	5058531	107	25,248,725,355,303	458,3805,7873,3958,5133	22,0,7	556,638,497	298	149	0	0.0	0.027,0.032,0.044,0.043,0.029	0.019,0.0,0.007	0.026
