ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
22	"LOC411469"	NA	chrNC_037653.1	-	2705767	2705958	2705767	2705948	2706019	2706144	22	51,225,150,119,133	2,24,26,18,20	1716,1016,1268	95,71,173	159	149	0.00919112370125	0.029216817063576157	0.96,0.898,0.844,0.861,0.862	0.944,0.931,0.873	-0.031
23	"LOC413633"	NA	chrNC_037653.1	-	1545021	1545173	1545021	1545170	1548929	1549219	23	0,0,1,0,0	0,0,2,2,4	0,28,12	4,16,10	152	149	1	1.0	NA,NA,0.329,0.0,0.0	0.0,0.632,0.541	-0.281
24	"LOC552675"	NA	chrNC_037653.1	+	1308751	1310425	1308754	1310425	1307595	1308190	24	73,1246,2041,1247,927	8,71,97,68,65	2051,1512,2048	95,83,116	152	149	0.506029667361	0.8858287393628009	0.899,0.945,0.954,0.947,0.933	0.955,0.947,0.945	-0.013
25	"LOC726460"	NA	chrNC_037653.1	-	1147169	1147523	1147169	1147286	1147682	1147783	25	8,41,44,102,25	64,267,854,903,402	67,74,118	596,972,718	298	149	0.0387770512735	0.10480284127972973	0.059,0.071,0.025,0.053,0.03	0.053,0.037,0.076	-0.008
26	"LOC412031"	NA	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103103	1103160	26	4,6,53,0,9	0,0,6,0,0	758,475,794	52,53,140	154	149	1	1.0	1.0,1.0,0.895,NA,1.0	0.934,0.897,0.846	0.081
27	"LOC412031"	NA	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103128	1103160	27	4,32,283,24,25	0,8,40,0,0	974,826,1278	168,115,229	154	149	0.0439546065984	0.11708219293691453	1.0,0.795,0.873,1.0,1.0	0.849,0.874,0.844	0.078
28	"LOC412031"	NA	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103242	1103346	28	4,8,85,0,9	0,0,2,0,0	1345,903,1541	57,36,106	154	149	1	1.0	1.0,1.0,0.976,NA,1.0	0.958,0.96,0.934	0.043
29	"LOC113219252"	NA	chrNC_037652.1	+	9504588	9505149	9504591	9505149	9503476	9503632	29	4,69,41,31,18	6,12,8,5,0	74,47,144	6,2,27	152	149	0.385816082925	0.706838625206107	0.395,0.849,0.834,0.859,1.0	0.924,0.958,0.839	-0.12
30	"LOC411646"	NA	chrNC_037652.1	+	9388913	9389247	9388916	9389247	9388203	9388571	30	3,144,178,127,119	0,26,43,37,35	89,112,191	21,39,30	152	149	0.883494617903	1.0	1.0,0.844,0.802,0.771,0.769	0.806,0.738,0.862	0.035
31	"LOC411646"	NA	chrNC_037652.1	+	9395383	9395613	9395392	9395613	9394320	9394656	31	11,147,126,82,136	8,58,62,40,59	186,135,176	48,33,53	158	149	0.000683067402467	0.0027552298586904205	0.565,0.705,0.657,0.659,0.685	0.785,0.794,0.758	-0.125
32	"LOC412503"	NA	chrNC_037652.1	-	9315813	9316036	9315813	9316021	9316079	9316246	32	4,12,0,6,4	34,436,173,322,106	2,0,14	154,97,177	164	149	0.277882009468	0.5405847495578606	0.097,0.024,0.0,0.017,0.033	0.012,0.0,0.067	0.008
33	"LOC550735"	NA	chrNC_037652.1	-	9283954	9284114	9283954	9284078	9284230	9284440	33	7,55,52,74,143	3,82,85,62,49	130,32,56	85,36,47	185	149	0.857678822968	1.0	0.653,0.351,0.33,0.49,0.702	0.552,0.417,0.49	0.019
34	"LOC551328"	NA	chrNC_037652.1	+	8831818	8832042	8831878	8832042	8830695	8830813	34	60,289,202,195,219	0,0,3,2,4	260,162,395	0,0,0	209	149	1	1.0	1.0,1.0,0.98,0.986,0.975	1.0,1.0,1.0	-0.012
35	"LOC551328"	NA	chrNC_037652.1	+	8838990	8840449	8838993	8840449	8838543	8838914	35	127,625,562,776,547	72,433,417,432,445	1671,1391,1747	768,821,1147	152	149	0.0422506918297	0.11292175731955456	0.634,0.586,0.569,0.638,0.546	0.681,0.624,0.599	-0.04
36	"LOC412796"	NA	chrNC_037652.1	-	8208331	8208405	8208331	8208381	8208783	8208871	36	20,353,211,254,119	13,252,101,71,35	531,336,632	69,16,46	173	149	0	0.0	0.57,0.547,0.643,0.755,0.745	0.869,0.948,0.922	-0.261
37	"LOC412796"	NA	chrNC_037652.1	-	8208331	8208513	8208331	8208381	8208783	8208871	37	24,285,225,177,132	13,252,101,71,35	230,210,283	69,16,46	281	149	2.77631097987e-05	0.00014027676529869475	0.495,0.375,0.542,0.569,0.667	0.639,0.874,0.765	-0.23
38	"LOC412796"	NA	chrNC_037652.1	-	8208331	8208513	8208331	8208405	8208783	8208871	38	20,222,196,160,118	16,270,174,215,97	178,163,188	463,277,535	257	149	8.96862584199e-11	9.482247586244935e-10	0.42,0.323,0.395,0.301,0.414	0.182,0.254,0.169	0.169
39	"LOC100577551"	NA	chrNC_037652.1	+	8045579	8047011	8045582	8047011	8045233	8045463	39	32,374,408,408,200	0,25,6,22,8	48,63,94	4,0,4	152	149	0.328858204551	0.6218980725073171	1.0,0.936,0.985,0.948,0.961	0.922,1.0,0.958	0.006
40	"LOC409611"	NA	chrNC_037652.1	-	7909917	7910547	7909917	7910526	7911355	7911482	40	0,15,37,14,22	0,34,63,59,26	71,51,76	73,50,78	170	149	1	1.0	NA,0.279,0.34,0.172,0.426	0.46,0.472,0.461	-0.16
41	"LOC409611"	NA	chrNC_037652.1	-	7909917	7910550	7909917	7910526	7911355	7911482	41	2,7,24,14,10	0,34,63,59,26	36,32,49	73,50,78	173	149	0.381928704007	0.7018597929684534	1.0,0.151,0.247,0.17,0.249	0.298,0.355,0.351	0.029
42	"LOC409611"	NA	chrNC_037652.1	-	7909917	7910550	7909917	7910547	7911355	7911482	42	2,1,24,8,3	0,9,37,8,15	21,28,30	56,47,57	152	149	0.953210640773	1.0	1.0,0.098,0.389,0.495,0.164	0.269,0.369,0.34	0.103
43	"LOC409713"	NA	chrNC_037652.1	-	7855700	7855844	7855700	7855829	7856939	7857007	43	511,3053,3650,3552,3805	431,1745,1530,1667,1888	3979,4174,3468	731,827,879	164	149	0	0.0	0.519,0.614,0.684,0.659,0.647	0.832,0.821,0.782	-0.187
44	"LOC409713"	NA	chrNC_037652.1	-	7855700	7855844	7855700	7855829	7860746	7860818	44	142,707,776,846,931	0,0,0,3,3	716,721,527	10,0,0	164	149	1	1.0	1.0,1.0,1.0,0.996,0.996	0.985,1.0,1.0	0.003
45	"LOC726353"	NA	chrNC_037652.1	+	7751493	7751909	7751513	7751909	7751210	7751442	45	14,26,19,59,58	39,424,368,401,269	18,29,43	133,362,441	169	149	0.221172090668	0.4475657821274874	0.24,0.051,0.044,0.115,0.16	0.107,0.066,0.079	0.038
46	"LOC113218519"	NA	chrNC_037652.1	-	7739928	7740181	7739928	7740178	7740360	7740745	46	4,26,56,17,45	26,34,71,47,90	1213,1191,1482	1597,1249,1842	152	149	0.0100998673279	0.03189431787757895	0.131,0.428,0.436,0.262,0.329	0.427,0.483,0.441	-0.133
47	"LOC102654111"	NA	chrNC_037652.1	-	7719770	7720293	7719770	7720290	7720365	7720625	47	0,23,14,11,2	10,48,54,18,6	0,3,4	1,0,2	152	149	0.0195133058018	0.05690392943416767	0.0,0.32,0.203,0.375,0.246	0.0,1.0,0.662	-0.325
48	"LOC552633"	NA	chrNC_037652.1	+	7664730	7665014	7664745	7665014	7664503	7664658	48	3,52,30,51,28	54,282,163,234,91	233,171,431	1112,833,1497	164	149	0.145835646623	0.322957773243871	0.048,0.143,0.143,0.165,0.218	0.16,0.157,0.207	-0.031
49	"LOC551799"	NA	chrNC_037653.1	+	4626430	4626556	4626433	4626556	4626191	4626248	49	486,3363,7925,4094,6611	3,94,163,121,170	1250,921,865	30,14,38	152	149	0.640636668351	1.0	0.994,0.972,0.979,0.971,0.974	0.976,0.985,0.957	0.005
50	"LOC552708"	NA	chrNC_037652.1	-	7589773	7590086	7589773	7590065	7590165	7590428	50	7,18,2,3,0	134,816,210,456,103	14,6,19	355,149,432	170	149	0.000374238753425	0.00159533394	0.044,0.019,0.008,0.006,0.0	0.033,0.034,0.037	-0.019
51	"pHCl"	NA	chrNC_037652.1	+	7547451	7547577	7547460	7547577	7531498	7531591	51	0,6,19,8,11	0,3,0,0,0	14,9,20	0,0,0	158	149	1	1.0	NA,0.654,1.0,1.0,1.0	1.0,1.0,1.0	-0.087
52	"pHCl"	NA	chrNC_037652.1	+	7547439	7547577	7547451	7547577	7534332	7534547	52	4,11,3,9,8	0,39,46,54,26	48,46,22	41,76,25	161	149	0.0605798556889	0.15369096580693448	1.0,0.207,0.057,0.134,0.222	0.52,0.359,0.449	-0.119
53	"pHCl"	NA	chrNC_037652.1	+	7547439	7547577	7547460	7547577	7534332	7534547	53	4,17,22,17,17	3,46,151,95,58	62,55,42	223,231,225	170	149	0.832247588296	1.0	0.539,0.245,0.113,0.136,0.204	0.196,0.173,0.141	0.077
54	"pHCl"	NA	chrNC_037652.1	+	7547451	7547577	7547460	7547577	7534332	7534547	54	0,45,65,62,35	3,46,151,95,58	55,85,45	223,231,225	158	149	0.00973936768949	0.030877783956110964	0.0,0.48,0.289,0.381,0.363	0.189,0.258,0.159	0.101
55	"pHCl"	NA	chrNC_037652.1	+	7547439	7547577	7547451	7547577	7539795	7539846	55	0,0,3,12,0	0,5,8,20,5	10,19,1	0,0,0	161	149	1	1.0	NA,0.0,0.258,0.357,0.0	1.0,1.0,1.0	-0.846
56	"pHCl"	NA	chrNC_037652.1	+	7547439	7547577	7547460	7547577	7539795	7539846	56	0,6,22,20,9	2,33,151,68,68	24,28,21	15,43,24	170	149	7.50794371118e-09	6.170912639326027e-08	0.0,0.137,0.113,0.205,0.104	0.584,0.363,0.434	-0.349
57	"pHCl"	NA	chrNC_037652.1	+	7547451	7547577	7547460	7547577	7539795	7539846	57	0,11,27,28,14	2,33,151,68,68	14,9,20	15,43,24	158	149	0.0389759973196	0.10510381299667415	0.0,0.239,0.144,0.28,0.163	0.468,0.165,0.44	-0.192
58	"LOC725115"	NA	chrNC_037652.1	+	7445901	7446772	7446706	7446772	7445181	7445200	58	88,435,303,272,298	4,7,41,14,29	1047,461,770	88,157,107	298	149	0.000284369169257	0.0012545698643691176	0.917,0.969,0.787,0.907,0.837	0.856,0.595,0.783	0.139
59	"LOC100577656"	NA	chrNC_037652.1	-	7301644	7302209	7301644	7302155	7318462	7318555	59	0,6,5,3,0	0,1,33,19,0	2,19,0	0,2,0	203	149	1	1.0	NA,0.815,0.1,0.104,NA	1.0,0.875,NA	-0.598
60	"LOC100577783"	NA	chrNC_037652.1	+	6873459	6873634	6873462	6873634	6873071	6873374	60	0,7,94,14,6	0,0,24,2,2	30,30,34	16,3,4	152	149	1	1.0	NA,1.0,0.793,0.873,0.746	0.648,0.907,0.893	0.037
61	"LOC409321"	NA	chrNC_037652.1	-	6557883	6558057	6557883	6557997	6558120	6558309	61	87,823,786,668,491	0,9,41,20,33	1043,908,1310	177,115,177	209	149	0	0.0	1.0,0.985,0.932,0.96,0.914	0.808,0.849,0.841	0.126
62	"LOC409321"	NA	chrNC_037652.1	-	6558120	6558306	6558120	6558279	6558516	6558657	62	22,211,232,147,223	0,14,32,26,8	458,400,450	6,8,3	176	149	4.38538094727e-14	6.496860662622222e-13	1.0,0.927,0.86,0.827,0.959	0.985,0.977,0.992	-0.07
63	"LOC409321"	NA	chrNC_037652.1	-	6558120	6558309	6558120	6558279	6558516	6558657	63	44,575,664,350,425	0,14,32,26,8	1315,1139,1517	6,8,3	179	149	1.11022302463e-16	1.9169318410877696e-15	1.0,0.972,0.945,0.918,0.978	0.995,0.992,0.998	-0.032
64	"LOC409321"	NA	chrNC_037652.1	-	6558120	6558309	6558120	6558306	6558516	6558657	64	22,412,489,250,259	0,48,57,47,57	955,842,1197	98,103,130	152	149	0.0781472850977	0.19099132814101832	1.0,0.894,0.894,0.839,0.817	0.905,0.889,0.9	-0.009
65	"LOC409321"	NA	chrNC_037652.1	-	6558120	6558306	6558120	6558279	6559081	6559339	65	29,192,177,130,168	6,23,14,10,21	370,297,322	8,0,14	176	149	7.57942597573e-11	8.084721040778666e-10	0.804,0.876,0.915,0.917,0.871	0.975,1.0,0.951	-0.099
66	"LOC409321"	NA	chrNC_037652.1	-	6558120	6558309	6558120	6558279	6559081	6559339	66	50,295,268,181,237	6,23,14,10,21	434,379,417	8,0,14	179	149	4.0810049784e-09	3.548699981217391e-08	0.874,0.914,0.941,0.938,0.904	0.978,1.0,0.961	-0.065
67	"LOC409321"	NA	chrNC_037652.1	-	6558120	6558309	6558120	6558306	6559081	6559339	67	28,132,93,81,71	7,29,2,30,2	74,82,97	10,0,2	152	149	0.000297297968787	0.0013044152195407681	0.797,0.817,0.979,0.726,0.972	0.879,1.0,0.979	-0.094
68	"LOC409321"	NA	chrNC_037652.1	-	6559081	6559339	6559081	6559324	6559524	6559804	68	19,158,164,68,84	6,193,158,222,118	263,248,406	95,132,196	164	149	0.000281626019125	0.0012449787334939226	0.742,0.427,0.485,0.218,0.393	0.716,0.631,0.653	-0.214
69	"LOC408533"	NA	chrNC_037652.1	-	5740341	5740468	5740341	5740390	5740860	5741014	69	48,160,57,128,81	2,16,15,17,6	108,75,122	56,28,43	227	149	2.81861800566e-09	2.487015887347059e-08	0.94,0.868,0.714,0.832,0.899	0.559,0.637,0.651	0.235
70	"LOC410621"	NA	chrNC_037652.1	-	5251930	5252080	5251930	5252077	5252157	5252303	70	33,309,297,175,551	125,538,994,609,1062	2,33,22	10,70,69	152	149	0.816133394027	1.0	0.206,0.36,0.227,0.22,0.337	0.164,0.316,0.238	0.031
71	"LOC410621"	NA	chrNC_037652.1	-	5252366	5252872	5252366	5252860	5252941	5253394	71	26,123,470,213,503	25,119,241,105,222	2,67,29	0,11,3	161	149	8.74128790129e-07	5.4491145358690905e-06	0.49,0.489,0.643,0.652,0.677	1.0,0.849,0.899	-0.326
72	"LOC409674"	NA	chrNC_037652.1	-	5238091	5240745	5238091	5240742	5241118	5241378	72	0,13,28,13,54	0,0,6,6,5	28,26,31	2,14,15	152	149	1	1.0	NA,1.0,0.821,0.68,0.914	0.932,0.645,0.67	0.105
73	"LOC410623"	NA	chrNC_037652.1	-	5091948	5092104	5091948	5092023	5092248	5093174	73	2,8,45,28,11	0,2,2,0,0	2,0,4	0,0,0	230	149	1	1.0	1.0,0.722,0.936,1.0,1.0	1.0,NA,1.0	-0.068
74	"LOC411720"	NA	chrNC_037652.1	+	3775789	3775869	3775794	3775869	3775591	3775719	74	50,406,214,291,118	52,272,79,196,37	112,80,194	38,17,49	154	149	0.000180764480044	0.000827928916232061	0.482,0.591,0.724,0.59,0.755	0.74,0.82,0.793	-0.156
75	"LOC413755"	NA	chrNC_037652.1	-	3449943	3450175	3449943	3450160	3450367	3450755	75	14,153,124,171,122	93,622,352,701,339	41,91,103	287,383,416	164	149	0.0334766475642	0.09194594110929064	0.12,0.183,0.242,0.181,0.246	0.115,0.178,0.184	0.035
76	"LOC408548"	NA	chrNC_037652.1	-	2986195	2986351	2986195	2986348	2987681	2987874	76	107,462,800,456,438	27,190,303,158,220	971,1209,1043	512,599,419	152	149	0.0470840822168	0.12431440849320133	0.795,0.704,0.721,0.739,0.661	0.65,0.664,0.709	0.05
77	"Syt20"	NA	chrNC_037653.1	-	1772121	1772256	1772121	1772241	1776423	1776568	77	38,268,179,141,109	78,1387,708,811,409	12,29,36	120,107,185	164	149	0.119687429926	0.2740933509755725	0.307,0.149,0.187,0.136,0.195	0.083,0.198,0.15	0.051
78	"LOC725503"	NA	chrNC_037652.1	-	2837155	2837230	2837155	2837227	2837643	2837841	78	15,75,47,54,48	39,114,149,107,102	13,29,28	36,54,67	152	149	0.769517819261	1.0	0.274,0.392,0.236,0.331,0.316	0.261,0.345,0.291	0.011
79	"LOC100577909"	NA	chrNC_037652.1	-	2808888	2808997	2808888	2808971	2809148	2809484	79	2,22,347,27,20	0,4,96,4,1	314,186,336	209,138,185	175	149	1.01552657061e-07	7.210839554627219e-07	1.0,0.824,0.755,0.852,0.945	0.561,0.534,0.607	0.308
80	"LOC551194"	NA	chrNC_037652.1	+	2795364	2795431	2795367	2795431	2794990	2795281	80	8,65,4,11,5	0,18,2,5,1	69,11,38	40,14,11	152	149	0.0376668448917	0.10253663484870748	1.0,0.78,0.662,0.683,0.831	0.628,0.435,0.772	0.18
81	"LOC409137"	NA	chrNC_037652.1	-	2662683	2662864	2662683	2662855	2663311	2663477	81	0,18,18,47,17	0,2,0,2,0	2,2,5	0,0,2	158	149	1	1.0	NA,0.895,1.0,0.957,1.0	1.0,1.0,0.702	0.062
82	"LOC551839"	NA	chrNC_037652.1	+	2548220	2548340	2548260	2548340	2547738	2547943	82	2,5,14,2,8	12,7,5,4,2	18,13,11	33,0,2	189	149	0.0767364277036	0.18811790243987742	0.116,0.36,0.688,0.283,0.759	0.301,1.0,0.813	-0.263
83	"LOC551839"	NA	chrNC_037652.1	+	2548220	2548340	2548260	2548340	2547740	2547960	83	3,7,56,20,23	0,16,0,3,0	103,60,44	7,0,14	189	149	0.635714683528	1.0	1.0,0.256,1.0,0.84,1.0	0.921,1.0,0.712	-0.058
84	"LOC724207"	NA	chrNC_037652.1	-	2531438	2532030	2531438	2531965	2533050	2533300	84	0,21,0,0,0	4,1,2,0,0	12,2,14	21,2,19	214	149	1	1.0	0.0,0.936,0.0,NA,NA	0.285,0.41,0.339	-0.033
85	"LOC727223"	NA	chrNC_037652.1	-	2184083	2184509	2184083	2184445	2184614	2184845	85	0,1,9,4,0	0,0,0,3,0	0,3,0	1,0,0	213	149	1	1.0	NA,1.0,1.0,0.483,NA	0.0,1.0,NA	0.328
86	"LOC727223"	NA	chrNC_037652.1	-	2188530	2188683	2188530	2188647	2188799	2188982	86	42,380,287,276,233	2,5,12,6,3	675,580,981	19,14,102	185	149	6.19935097879e-06	3.468168379742657e-05	0.944,0.984,0.951,0.974,0.984	0.966,0.971,0.886	0.026
87	"LOC727223"	NA	chrNC_037652.1	-	2190385	2190525	2190385	2190516	2190601	2190798	87	9,30,5,12,13	12,74,46,37,17	77,13,68	98,44,124	158	149	0.186090711672	0.39245844289349735	0.414,0.277,0.093,0.234,0.419	0.426,0.218,0.341	-0.041
88	"LOC726601"	NA	chrNC_037652.1	+	1879296	1879455	1879383	1879455	1878950	1879099	88	339,791,473,485,620	18,20,24,12,36	175,260,306	4,0,2	236	149	6.81959710924e-08	4.944722979509365e-07	0.922,0.961,0.926,0.962,0.916	0.965,1.0,0.99	-0.048
89	"LOC100578556"	NA	chrNC_037652.1	+	1823435	1823779	1823438	1823779	1822984	1823133	89	2,114,78,119,44	6,78,63,52,38	376,343,531	279,328,381	152	149	0.819340380704	1.0	0.246,0.589,0.548,0.692,0.532	0.569,0.506,0.577	-0.029
90	"LOC409573"	NA	chrNC_037652.1	+	1799719	1800350	1799722	1800350	1799389	1799500	90	5,86,164,63,60	6,11,20,6,10	459,317,659	36,65,94	152	149	0.687698813022	1.0	0.45,0.885,0.889,0.911,0.855	0.926,0.827,0.873	-0.077
91	"LOC409200"	NA	chrNC_037652.1	-	1572456	1572747	1572456	1572694	1572950	1573030	91	83,836,355,394,287	1,17,42,7,11	519,294,710	138,99,218	202	149	0	0.0	0.984,0.973,0.862,0.976,0.951	0.735,0.687,0.706	0.24
92	"LOC724789"	NA	chrNC_037652.1	-	814498	814601	814498	814596	814687	814800	92	120,852,210,558,134	7,114,18,47,10	691,428,869	95,50,134	154	149	0.00705044114016	0.02317953251559452	0.943,0.879,0.919,0.92,0.928	0.876,0.892,0.863	0.041
93	"LOC724789"	NA	chrNC_037652.1	-	815567	815789	815567	815745	815989	816088	93	44,359,87,213,42	0,2,0,0,6	326,98,353	3,6,17	193	149	0.000354787438185	0.001523237659470483	1.0,0.993,1.0,1.0,0.844	0.988,0.927,0.941	0.015
94	"LOC724789"	NA	chrNC_037652.1	-	815567	815789	815567	815745	816196	816330	94	39,190,41,164,41	0,20,10,8,16	184,56,224	2,8,10	193	149	0.00278533485178	0.0098450716410486	1.0,0.88,0.76,0.941,0.664	0.986,0.844,0.945	-0.076
95	"LOC724789"	NA	chrNC_037652.1	-	816196	816388	816196	816330	816532	816577	95	5,147,131,111,91	14,52,24,26,10	50,139,144	53,37,69	207	149	0.267548557553	0.5241767658181224	0.205,0.67,0.797,0.754,0.868	0.404,0.73,0.6	0.081
96	"LOC100576614"	NA	chrNC_037652.1	-	805943	806099	805943	806082	808662	808874	96	13,81,107,186,135	0,0,17,2,10	72,0,5	0,0,0	166	149	1	1.0	1.0,1.0,0.85,0.988,0.924	1.0,NA,1.0	-0.048
97	"LOC411466"	NA	chrNC_037652.1	+	630318	630526	630348	630526	630011	630199	97	2,16,25,7,7	27,91,123,74,115	52,85,137	86,101,165	179	149	0	0.0	0.058,0.128,0.145,0.073,0.048	0.335,0.412,0.409	-0.295
98	"LOC411466"	NA	chrNC_037652.1	+	646523	646698	646535	646698	644649	644819	98	2,4,6,2,6	49,162,181,185,195	10,22,3	265,151,212	161	149	0.00251239806224	0.008959517606799406	0.036,0.022,0.03,0.01,0.028	0.034,0.119,0.013	-0.03
99	"LOC411466"	NA	chrNC_037652.1	+	646523	646923	646535	646923	645437	645590	99	2,6,6,2,7	2,10,22,35,30	6,20,8	14,18,50	161	149	0.176787205319	0.3771460380138667	0.481,0.357,0.202,0.05,0.178	0.284,0.507,0.129	-0.053
100	"LOC411466"	NA	chrNC_037652.1	+	646761	646923	646833	646923	646523	646698	100	38,128,114,105,157	15,59,54,81,54	270,190,253	59,40,57	221	149	1.06376177833e-06	6.47976717764467e-06	0.631,0.594,0.587,0.466,0.662	0.755,0.762,0.75	-0.168
