ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
100	"LOC725115"	"LOC725115"	chrNC_037652.1	+	7448924	7448983	7449586	7449800	7448051	7448098	7450361	7450848
101	"Mblk-1"	"Mblk-1"	chrNC_037652.1	-	7013424	7013665	7016328	7016761	7012010	7012953	7020221	7020301
102	"Mblk-1"	"Mblk-1"	chrNC_037652.1	-	7016328	7016761	7020221	7020301	7013424	7013665	7021752	7022067
103	"LOC100577783"	"LOC100577783"	chrNC_037652.1	+	6867526	6867786	6871461	6871561	6867253	6867416	6872781	6872966
104	"LOC552844"	"LOC552844"	chrNC_037652.1	-	6607517	6607647	6624536	6624700	6603004	6605848	6748123	6748221
105	"LOC552844"	"LOC552844"	chrNC_037652.1	-	6624536	6624700	6748123	6748221	6607517	6607647	6841577	6841964
106	"LOC410609"	"LOC410609"	chrNC_037652.1	+	6493643	6493794	6499513	6499632	6486660	6487320	6509412	6509656
107	"LOC408525"	"LOC408525"	chrNC_037652.1	+	6480251	6480435	6482437	6482654	6479927	6480082	6483205	6483340
108	"LOC408525"	"LOC408525"	chrNC_037652.1	+	6482437	6482654	6483205	6483340	6480251	6480435	6483977	6484156
109	"Obp9"	"Obp9"	chrNC_037652.1	+	6326711	6326776	6326856	6328135	6326427	6326622	6333959	6334013
110	"Adar"	"Adar"	chrNC_037652.1	-	6313877	6314525	6320141	6320250	6312990	6313193	6320326	6320517
111	"Adar"	"Adar"	chrNC_037652.1	-	6314222	6314525	6320141	6320250	6312990	6313193	6320326	6320517
112	"LOC726068"	"LOC726068"	chrNC_037652.1	+	6029242	6029477	6149039	6149353	6018150	6018610	6149888	6150068
113	"LOC726068"	"LOC726068"	chrNC_037652.1	+	6149039	6149353	6149888	6150068	6029242	6029477	6177987	6178160
114	"LOC726068"	"LOC726068"	chrNC_037652.1	+	6149888	6150068	6177987	6178160	6149039	6149353	6186727	6187098
115	"LOC726068"	"LOC726068"	chrNC_037652.1	+	6177987	6178160	6186727	6187098	6149888	6150068	6188060	6192162
116	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876287	5876679	5876785	5875586	5876080	5876973	5877343
117	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876287	5876973	5877343	5875586	5876080	5877412	5877977
118	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876341	5876679	5876785	5875592	5876080	5876973	5877343
119	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876341	5876973	5877343	5875592	5876080	5877412	5877977
120	"LOC411724"	"LOC411724"	chrNC_037652.1	-	5795819	5795938	5798649	5799020	5795545	5795724	5799732	5800366
121	"LOC107965562"	"LOC107965562"	chrNC_037652.1	-	5743758	5743879	5745491	5745621	5743192	5743677	5751702	5751784
123	"LOC409269"	"LOC409269"	chrNC_037652.1	+	5181506	5181722	5181999	5182190	5181298	5181427	5182464	5182571
124	"LOC410627"	"LOC410627"	chrNC_037652.1	-	4678241	4678389	4684934	4685043	4674931	4675284	4688874	4689156
125	"LOC409440"	"LOC409440"	chrNC_037652.1	+	3705504	3705737	3706057	3706332	3705225	3705443	3706418	3706594
126	"LOC408546"	"LOC408546"	chrNC_037652.1	+	3271069	3271140	3271448	3271673	3270621	3270949	3272037	3272259
127	"LOC408548"	"LOC408548"	chrNC_037652.1	-	2999677	2999781	3004784	3004943	2998377	2998565	3025211	3025440
128	"LOC552082"	"LOC552082"	chrNC_037652.1	+	2767284	2767329	2768654	2768681	2766840	2766934	2768818	2768943
129	"LOC552082"	"LOC552082"	chrNC_037652.1	+	2767929	2768001	2768654	2768681	2767612	2767732	2768818	2768943
130	"LOC552479"	"LOC552479"	chrNC_037652.1	-	2716921	2717128	2717473	2717638	2716324	2716480	2717958	2718066
131	"LOC552479"	"LOC552479"	chrNC_037652.1	-	2717473	2717638	2717958	2718066	2716921	2717128	2718575	2718903
137	"LOC406147"	"LOC406147"	chrNC_037652.1	-	2627304	2627555	2627885	2628098	2626678	2626825	2628755	2628912
138	"LOC726887"	"LOC726887"	chrNC_037652.1	+	2233288	2233729	2236721	2237287	2197323	2197479	2243533	2243762
139	"LOC726601"	"LOC726601"	chrNC_037652.1	+	1879296	1879455	1879965	1880121	1878950	1879099	1880697	1880837
140	"LOC726601"	"LOC726601"	chrNC_037652.1	+	1879296	1879455	1879965	1880121	1878950	1879099	1881931	1882188
141	"LOC726601"	"LOC726601"	chrNC_037652.1	+	1879383	1879455	1879965	1880121	1878950	1879099	1881931	1882188
142	"LOC724916"	"LOC724916"	chrNC_037652.1	+	4260965	4261122	4264325	4264554	4257349	4257486	4265657	4265807
143	"LOC724916"	"LOC724916"	chrNC_037652.1	+	4260965	4261122	4265657	4265807	4257349	4257486	4266213	4267253
144	"LOC724916"	"LOC724916"	chrNC_037652.1	+	4264325	4264554	4265657	4265807	4260965	4261122	4266213	4267253
145	"LOC100578556"	"LOC100578556"	chrNC_037652.1	+	1819962	1820087	1820168	1820308	1809388	1809702	1820620	1820750
146	"LOC724865"	"LOC724865"	chrNC_037652.1	-	819851	819967	820266	820652	819711	819782	821889	822002
147	"LOC411463"	"LOC411463"	chrNC_037652.1	-	666774	666918	667244	667389	665446	665802	668100	668317
148	"LOC102653951"	"LOC102653951"	chrNC_037652.1	-	512542	512724	570602	570679	483524	484453	598238	598295
151	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10611921	10612467	10612666	10612829	10611482	10611766	10614834	10614979
152	"LOC551446"	"LOC551446"	chrNC_037651.1	-	10613577	10613600	10613691	10613837	10612666	10612829	10614834	10614973
153	"LOC408500"	"LOC408500"	chrNC_037651.1	+	10497213	10497312	10497429	10497600	10496830	10497111	10497812	10497961
154	"LOC409253"	"LOC409253"	chrNC_037651.1	+	10446425	10446877	10448941	10449142	10446131	10446294	10449690	10449924
155	"LOC727313"	"LOC727313"	chrNC_037651.1	-	10460475	10460611	10460690	10460843	10460258	10460386	10460921	10461049
156	"LOC410563"	"LOC410563"	chrNC_037651.1	-	10120689	10120765	10133542	10133710	10113482	10113609	10135518	10135999
157	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10020558	10020703	10021113	10021281	10020342	10020450	10021404	10021471
158	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10021113	10021281	10021404	10021471	10020558	10020703	10022405	10022500
159	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10021830	10021875	10022251	10022272	10021404	10021471	10022405	10022500
160	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10021830	10021875	10022251	10022275	10021404	10021471	10022405	10022500
161	"LOC727232"	"LOC727232"	chrNC_037651.1	-	10024842	10024938	10025461	10026716	10024591	10024771	10027770	10028328
162	"LOC113218579"	"LOC113218579"	chrNC_037651.1	-	9759175	9759378	9759493	9759563	9758490	9758931	9759647	9759759
163	"LOC113218579"	"LOC113218579"	chrNC_037651.1	-	9759175	9759378	9759647	9759759	9758490	9758931	9759879	9759914
164	"LOC113218579"	"LOC113218579"	chrNC_037651.1	-	9759175	9759378	9759879	9759914	9758490	9758931	9760376	9760630
165	"LOC113218579"	"LOC113218579"	chrNC_037651.1	-	9759240	9759378	9759493	9759563	9758490	9758931	9759647	9759759
166	"LOC113218579"	"LOC113218579"	chrNC_037651.1	-	9759240	9759378	9759647	9759759	9758490	9758931	9759879	9759914
167	"LOC113218579"	"LOC113218579"	chrNC_037651.1	-	9759240	9759378	9759879	9759914	9758490	9758931	9760376	9760627
168	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9486026	9486220	9502567	9502898	9474972	9475105	9527632	9527743
169	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9486026	9486220	9527632	9527743	9474972	9475132	9529939	9531221
170	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9486035	9486220	9502567	9502898	9474972	9475105	9527632	9527743
171	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9486035	9486220	9527632	9527743	9474972	9475132	9529939	9531221
172	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9502567	9502886	9527632	9527743	9486026	9486220	9529939	9531222
173	"LOC100576251"	"LOC100576251"	chrNC_037651.1	-	9502567	9502898	9527632	9527743	9486026	9486220	9529939	9531222
174	"LOC726947"	"LOC726947"	chrNC_037651.1	+	9368203	9368342	9370493	9370880	9363134	9363382	9370988	9371201
175	"LOC726947"	"LOC726947"	chrNC_037651.1	+	9368203	9368342	9370988	9371201	9363134	9363382	9371841	9371993
176	"LOC726947"	"LOC726947"	chrNC_037651.1	+	9368203	9368342	9369385	9369902	9366539	9366718	9370493	9370880
177	"LOC726947"	"LOC726947"	chrNC_037651.1	+	9368203	9368342	9370493	9370880	9366539	9366718	9370988	9371201
178	"LOC726947"	"LOC726947"	chrNC_037651.1	+	9368203	9368342	9370988	9371201	9366539	9366718	9371841	9371993
179	"LOC410545"	"LOC410545"	chrNC_037651.1	-	9324215	9324387	9324826	9324932	9323902	9324079	9331783	9332428
180	"LOC408478"	"LOC408478"	chrNC_037651.1	+	9294504	9294716	9299480	9299610	9291449	9292079	9299713	9299849
181	"LOC410539"	"LOC410539"	chrNC_037651.1	+	9023381	9023620	9024799	9025031	9021019	9021230	9025284	9025884
182	"LOC410539"	"LOC410539"	chrNC_037651.1	+	9024799	9025031	9025284	9025884	9023381	9023620	9027167	9027605
183	"LOC408474"	"LOC408474"	chrNC_037651.1	-	9014621	9014845	9018371	9018480	9013058	9013284	9020961	9021058
184	"LOC410537"	"LOC410537"	chrNC_037651.1	+	8924739	8924853	8929534	8929834	8920291	8920522	8941153	8941327
185	"LOC410537"	"LOC410537"	chrNC_037651.1	+	8924739	8924853	8941153	8941327	8920291	8920522	8941464	8943930
186	"LOC410537"	"LOC410537"	chrNC_037651.1	+	8929534	8929834	8941153	8941327	8924739	8924853	8941464	8943930
187	"LOC100576805"	"LOC100576805"	chrNC_037651.1	-	8647625	8647688	8661720	8661961	8644367	8644435	8665547	8665886
188	"LOC100576805"	"LOC100576805"	chrNC_037651.1	-	8647625	8647688	8661720	8661961	8644367	8644435	8671938	8672032
189	"LOC408463"	"LOC408463"	chrNC_037651.1	+	8045004	8045251	8053617	8054675	8032760	8032890	8056074	8058886
190	"LOC408463"	"LOC408463"	chrNC_037651.1	+	8049577	8051147	8053617	8054675	8045004	8045251	8056074	8058886
191	"LOC410514"	"LOC410514"	chrNC_037651.1	+	7780034	7780189	7781018	7781208	7750416	7750553	7786425	7786685
192	"LOC410514"	"LOC410514"	chrNC_037651.1	+	7780322	7780442	7781018	7781208	7780034	7780189	7786425	7786685
193	"LOC410514"	"LOC410514"	chrNC_037651.1	+	7781018	7781208	7786425	7786685	7780034	7780189	7811136	7811274
194	"LOC410514"	"LOC410514"	chrNC_037651.1	+	7781018	7781208	7786425	7786685	7780322	7780442	7811136	7811274
195	"LOC410514"	"LOC410514"	chrNC_037651.1	+	7786425	7786685	7811136	7811274	7781018	7781208	7811636	7811715
196	"LOC410514"	"LOC410514"	chrNC_037651.1	+	7811636	7811715	7814673	7814777	7786425	7786685	7817332	7817593
197	"LOC410507"	"LOC410507"	chrNC_037651.1	-	7661798	7661972	7663282	7663478	7661560	7661723	7663602	7663823
198	"LOC410507"	"LOC410507"	chrNC_037651.1	-	7661798	7661972	7663282	7663498	7661560	7661723	7663602	7663823
199	"LOC410507"	"LOC410507"	chrNC_037651.1	-	7661798	7661972	7663602	7663823	7661560	7661723	7664808	7665105
200	"LOC410506"	"LOC410506"	chrNC_037651.1	+	7644323	7644396	7647468	7647698	7610806	7613509	7656243	7656535
201	"LOC410506"	"LOC410506"	chrNC_037651.1	+	7644323	7644396	7647468	7647698	7628193	7628441	7656243	7656535
202	"LOC410506"	"LOC410506"	chrNC_037651.1	+	7647468	7647698	7656243	7656535	7644323	7644396	7657565	7657784
203	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7457372	7457500	7458616	7458778	7454836	7456414	7459999	7460160
204	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7457372	7457500	7458616	7458778	7454836	7456414	7461341	7461468
205	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7458307	7458465	7458616	7458778	7454836	7457500	7459999	7460160
206	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7458616	7458778	7461341	7461468	7454836	7456414	7464341	7464547
207	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7458616	7458778	7459999	7460160	7454836	7457500	7461341	7461468
208	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7458616	7458778	7461341	7461468	7454836	7457500	7464341	7464547
209	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7458616	7458778	7459999	7460160	7458307	7458465	7461341	7461468
210	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7459999	7460160	7461341	7461468	7458616	7458778	7465680	7465804
211	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7459999	7460160	7464341	7464547	7458616	7458778	7465680	7465804
212	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7459999	7460160	7461341	7461468	7458616	7458778	7492388	7492519
213	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7459999	7460160	7461341	7461468	7458616	7458778	7494038	7494449
214	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7459999	7460160	7492388	7492519	7458616	7458778	7494038	7494449
215	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7461341	7461468	7464341	7464547	7458616	7458778	7465680	7465804
216	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7461341	7461468	7492388	7492519	7458616	7458778	7494038	7494449
217	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7461341	7461468	7465680	7465804	7459999	7460160	7469231	7469353
218	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7461341	7461468	7492388	7492519	7459999	7460160	7494038	7494449
219	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7464341	7464547	7465680	7465804	7461341	7461468	7469231	7469353
220	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7464341	7464547	7469231	7469353	7461341	7461468	7492388	7492519
221	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7465680	7465804	7469231	7469353	7464341	7464547	7492388	7492519
222	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7465680	7465804	7492388	7492519	7464341	7464547	7494038	7494449
223	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7469231	7469353	7492388	7492519	7465680	7465804	7494038	7494449
224	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7469231	7469353	7494038	7494449	7465680	7465804	7503429	7503621
225	"LOC100577030"	"LOC100577030"	chrNC_037651.1	-	7492388	7492519	7494038	7494449	7469231	7469353	7503429	7503621
226	"LOC410498"	"LOC410498"	chrNC_037651.1	+	7309285	7309444	7316092	7316243	7295713	7295944	7327406	7327593
227	"LOC410498"	"LOC410498"	chrNC_037651.1	+	7316068	7316243	7327406	7327593	7309285	7309444	7328809	7328978
228	"LOC410498"	"LOC410498"	chrNC_037651.1	+	7316092	7316243	7327406	7327593	7309285	7309444	7328809	7328978
229	"LOC410498"	"LOC410498"	chrNC_037651.1	+	7316099	7316243	7327406	7327593	7309285	7309444	7328809	7328978
230	"LOC410498"	"LOC410498"	chrNC_037651.1	+	7327406	7327593	7328809	7328978	7316068	7316243	7332183	7332308
231	"LOC410498"	"LOC410498"	chrNC_037651.1	+	7363266	7363510	7364075	7364257	7332407	7332488	7372218	7372373
232	"LOC410498"	"LOC410498"	chrNC_037651.1	+	7364075	7364257	7372218	7372373	7363266	7363510	7372563	7372684
234	"LOC410497"	"LOC410497"	chrNC_037651.1	-	7267607	7268098	7275760	7275916	7265444	7265590	7277381	7277865
235	"aub"	"aub"	chrNC_037651.1	-	6760650	6760738	6762364	6762400	6760373	6760511	6762671	6762886
237	"LOC409894"	"LOC409894"	chrNC_037651.1	-	6535147	6535218	6535929	6536057	6532577	6532761	6536636	6536822
