ID	GeneID	geneSymbol	PValue	FDR	IncLevelDifference	PSI_1	PSI_2	Chr	Strand	exon_long	exon_short	exon_flanking
13	LOC725662	NA	0.019048193766	0.0426767989682687	0.026	0.982,0.913,0.96,0.938	0.956,0.886,0.925,0.93,0.915	chrNC_037653.1	-	4922539-4922753	4922539-4922732	4922888-4929705
14	LOC412608	NA	0.143798646912	0.256973507907556	0.089	0.922,0.527,0.778,0.574	0.763,0.582,0.538,0.736,0.436	chrNC_037653.1	-	4859093-4859222	4859093-4859216	4859322-4859383
15	LOC412357	NA	0.124550336187	0.226928528912525	0.008	0.899,0.942,0.937,0.947	0.942,0.924,0.936,0.914,0.9	chrNC_037653.1	-	4935311-4935588	4935311-4935543	4935664-4935939
16	LOC413119	NA	0.000287455024824	0.000944894740966482	-0.088	0.019,0.075,0,0.02	0.089,0.244,0.014,0.093,0.141	chrNC_037653.1	-	4636548-4636702	4636548-4636681	4637156-4637293
17	LOC724422	NA	0.583413056214	0.813678243260842	0.025	0.37,0.545,0.774,0.563	0.51,0.53,0.467,0.499,0.684	chrNC_037653.1	+	4510829-4511762	4510832-4511762	4494356-4495982
18	LOC107965657	NA	1	1	0.142	0.551,0.938,1,0.956	NA,0.662,0.495,1,NA	chrNC_037653.1	+	2989650-2989786	2989653-2989786	2988994-2989585
20	LOC552100	NA	2.58022434751e-07	1.33815089961075e-06	-0.091	0.85,0.936,0.955,0.894	1,1,1,1,1	chrNC_037653.1	-	2859712-2859989	2859712-2859959	2860711-2861260
21	LOC411556	NA	0.0100059599564	0.0238413613775951	0.283	0.847,0.88,0.92,0.901	0,0.578,1,0.733,0.71	chrNC_037653.1	-	2844798-2844909	2844798-2844906	2845096-2845242
22	LOC411469	NA	0.000192251496978	0.000655888314185045	0.084	0.802,0.859,0.823,0.847	0.68,0.75,0.784,0.696,0.833	chrNC_037653.1	-	2705768-2705958	2705768-2705948	2706020-2706144
23	LOC413633	NA	0.243373652311	0.40271860066948	-0.049	0.211,0.164,0.245,0.363	0.333,0.254,0.313,0.273,0.299	chrNC_037653.1	-	1545022-1545173	1545022-1545170	1548930-1549219
24	LOC552675	NA	0.186189909372	0.31941913341152	0.013	0.988,0.934,0.956,0.945	0.917,0.952,0.949,0.936,0.96	chrNC_037653.1	+	1308752-1310425	1308755-1310425	1307596-1308190
25	LOC726460	NA	0.171358977972	0.297948493230595	0.012	0.054,0.038,0.145,0.086	0.06,0.088,0.043,0.08,0.073	chrNC_037653.1	-	1147170-1147523	1147170-1147286	1147683-1147783
26	LOC412031	NA	0.290109365012	0.463557365028045	-0.103	0,1,1,0.821	0.547,1,0.492,1,1	chrNC_037653.1	-	1102300-1102353	1102300-1102348	1103104-1103160
27	LOC412031	NA	0.568665989205	0.799030422689501	0.007	1,0.829,0.616,0.925	1,0.931,0.733,0.853,0.659	chrNC_037653.1	-	1102300-1102353	1102300-1102348	1103129-1103160
28	LOC412031	NA	1	1	-0.163	NA,1,0.592,0.788	0.784,1,1,1,1	chrNC_037653.1	-	1102300-1102353	1102300-1102348	1103243-1103346
29	LOC113219252	NA	3.79361261293e-08	2.15343304204556e-07	0.114	0.931,0.945,0.873,1	0.718,0.852,0.923,0.876,0.748	chrNC_037652.1	+	9504589-9505149	9504592-9505149	9503477-9503632
30	LOC411646	NA	0.234721834134	0.390528568860879	0.044	1,0.829,0.907,0.833	0.824,0.923,0.789,0.798,0.909	chrNC_037652.1	+	9388914-9389247	9388917-9389247	9388204-9388571
31	LOC411646	NA	3.18078896555e-13	3.12526973996949e-12	-0.214	0.611,0.747,0.714,0.723	0.989,0.857,0.906,0.931,0.881	chrNC_037652.1	+	9395384-9395613	9395393-9395613	9394321-9394656
32	LOC412503	NA	0.880015654733	1	0.008	0.05,0.046,0,0.086	0.053,0.037,0.03,0.027,0.039	chrNC_037652.1	-	9315814-9316036	9315814-9316021	9316080-9316246
33	LOC550735	NA	0.0657404478513	0.128998322508506	0.1	0.45,0.582,0.508,0.285	0.378,0.407,0.328,0.315,0.355	chrNC_037652.1	-	9283955-9284114	9283955-9284078	9284231-9284440
34	LOC413078	NA	1	1	-0.041	1,1,0.973,0.863	1,1,1,1,1	chrNC_037652.1	+	9032524-9032669	9032553-9032669	9032153-9032171
35	LOC551328	NA	1	1	-0.003	1,0.996,0.991,1	1,1,1,1,1	chrNC_037652.1	+	8831819-8832042	8831879-8832042	8830696-8830813
36	LOC551328	NA	0.00236572948068	0.00645025333682882	-0.069	0.745,0.64,0.593,0.639	0.732,0.721,0.725,0.712,0.726	chrNC_037652.1	+	8838991-8840449	8838994-8840449	8838544-8838914
37	LOC412796	NA	0	0	-0.259	0.562,0.732,0.667,0.595	0.918,0.896,0.878,0.888,0.91	chrNC_037652.1	-	8208332-8208405	8208332-8208381	8208784-8208871
38	LOC412796	NA	0	0	-0.407	0.32,0.464,0.467,0.314	0.871,0.817,0.769,0.748,0.788	chrNC_037652.1	-	8208332-8208513	8208332-8208381	8208784-8208871
39	LOC412796	NA	0.0044161473874	0.0114076770944119	-0.061	0.251,0.214,0.29,0.19	0.366,0.323,0.309,0.241,0.246	chrNC_037652.1	-	8208332-8208513	8208332-8208405	8208784-8208871
40	LOC100577551	NA	0.0427614392654	0.0875714638921617	-0.012	0.973,0.914,0.943,0.883	0.983,0.893,0.872,0.964,0.99	chrNC_037652.1	+	8045580-8047011	8045583-8047011	8045234-8045463
41	LOC409611	NA	4.23962802532e-07	2.15328476022832e-06	0.245	0.311,0.597,0.489,0.432	0.169,0.231,0.224,0.23,0.209	chrNC_037652.1	-	7909918-7910547	7909918-7910526	7911356-7911482
42	LOC409611	NA	0.00315132247689	0.00831530598882498	0.15	0.143,0.481,0.255,0.352	0.104,0.135,0.178,0.185,0.187	chrNC_037652.1	-	7909918-7910550	7909918-7910526	7911356-7911482
43	LOC409611	NA	3.77948413638e-05	0.000146096797374803	-0.19	0,0.164,0.03,0.259	0.316,0.177,0.292,0.337,0.395	chrNC_037652.1	-	7909918-7910550	7909918-7910547	7911356-7911482
44	LOC409713	NA	0	0	-0.272	0.425,0.42,0.54,0.414	0.735,0.703,0.719,0.707,0.745	chrNC_037652.1	-	7855701-7855844	7855701-7855829	7856940-7857007
45	LOC409713	NA	0.952673620868	1	0	0.974,1,0.994,1	0.988,1,0.995,0.975,1	chrNC_037652.1	-	7855701-7855844	7855701-7855829	7860747-7860818
46	LOC726353	NA	0.539329259758	0.766982978876903	0.011	0.093,0.095,0.036,0.185	0.09,0.032,0,0.177,0.157	chrNC_037652.1	+	7751494-7751909	7751514-7751909	7751211-7751442
47	LOC113218519	NA	0.00293999088339	0.0078419105300294	-0.256	0.232,0.567,0.299,0.383	0.47,0.581,0.768,0.768,0.545	chrNC_037652.1	-	7739929-7740181	7739929-7740178	7740361-7740745
48	LOC102654111	NA	0.546574387438	0.77402725097352	-0.05	0.246,0.423,0.3,0.385	0.301,0.434,0.558,0.424,0.226	chrNC_037652.1	-	7719771-7720293	7719771-7720290	7720366-7720625
49	LOC552633	NA	0.000140247953539	0.000488967703822423	-0.094	0.155,0.078,0.208,0.137	0.328,0.282,0.196,0.247,0.138	chrNC_037652.1	+	7664731-7665014	7664746-7665014	7664504-7664658
50	LOC551799	NA	0.00173124922615	0.00488291796352537	0.028	1,0.994,0.974,0.971	0.987,1,0.896,0.904,0.997	chrNC_037653.1	+	4626431-4626556	4626434-4626556	4626192-4626248
51	LOC552708	NA	0.0205282788323	0.0456146458921666	-0.014	0.056,0.047,0.015,0.034	0.033,0.063,0.097,0.04,0.027	chrNC_037652.1	-	7589774-7590086	7589774-7590065	7590166-7590428
52	pHCl	NA	5.33253606783e-06	2.3620512221765e-05	0.177	1,1,0.934,1	0.864,0.971,0.809,0.456,0.931	chrNC_037652.1	+	7547452-7547577	7547461-7547577	7527183-7527323
53	pHCl	NA	1.88707737214e-08	1.12063363945545e-07	-0.174	0.132,0.185,0.082,0.241	0.326,0.354,0.332,0.371,0.285	chrNC_037652.1	+	7547440-7547577	7547452-7547577	7534333-7534547
54	pHCl	NA	0.000250971610869	0.000834102450883195	0.078	0.216,0.207,0.214,0.325	0.177,0.143,0.155,0.149,0.19	chrNC_037652.1	+	7547440-7547577	7547461-7547577	7534333-7534547
55	pHCl	NA	0	0	0.238	0.524,0.423,0.505,0.502	0.268,0.211,0.251,0.223,0.297	chrNC_037652.1	+	7547452-7547577	7547461-7547577	7534333-7534547
56	pHCl	NA	6.33873124933e-06	2.77139997341257e-05	-0.418	0.209,0.382,0.536,0.712	1,0.832,0.797,0.874,0.885	chrNC_037652.1	+	7547440-7547577	7547452-7547577	7539796-7539846
57	pHCl	NA	0.221030007873	0.371407388851272	-0.053	0.154,0.174,0.176,0.266	0.253,0.243,0.181,0.135,0.413	chrNC_037652.1	+	7547440-7547577	7547461-7547577	7539796-7539846
58	pHCl	NA	0.37554731928	0.575569402549382	0.022	0.228,0.209,0.183,0.241	0.21,0.201,0.13,0.068,0.357	chrNC_037652.1	+	7547452-7547577	7547461-7547577	7539796-7539846
60	LOC100577783	NA	7.00884794647e-10	5.11835328415188e-09	-0.281	0.864,0.551,0.676,0.761	1,1,1,0.972,1	chrNC_037652.1	+	6873460-6873634	6873463-6873634	6873072-6873374
61	LOC409321	NA	0.00041747149958	0.0013155345977081	0.025	0.927,0.945,0.933,0.953	0.908,0.932,0.921,0.913,0.899	chrNC_037652.1	-	6557884-6558057	6557884-6557997	6558121-6558309
62	LOC409321	NA	4.59103918128e-05	0.000174719960277877	-0.039	0.948,0.882,0.899,0.91	0.956,0.962,0.94,0.94,0.947	chrNC_037652.1	-	6558121-6558306	6558121-6558279	6558517-6558657
63	LOC409321	NA	2.4958039746e-08	1.46920748134405e-07	-0.024	0.967,0.953,0.955,0.958	0.986,0.986,0.979,0.982,0.98	chrNC_037652.1	-	6558121-6558309	6558121-6558279	6558517-6558657
64	LOC409321	NA	0.0506173449378	0.101686294440101	-0.03	0.824,0.919,0.841,0.901	0.893,0.9,0.907,0.917,0.891	chrNC_037652.1	-	6558121-6558309	6558121-6558306	6558517-6558657
65	LOC409321	NA	0	0	-0.14	0.79,0.811,0.918,0.831	0.973,0.991,0.974,0.972,0.976	chrNC_037652.1	-	6558121-6558306	6558121-6558279	6559082-6559339
66	LOC409321	NA	0	0	-0.077	0.889,0.885,0.938,0.896	0.976,0.992,0.976,0.974,0.978	chrNC_037652.1	-	6558121-6558309	6558121-6558279	6559082-6559339
67	LOC409321	NA	5.70745160444e-06	2.50756654230844e-05	-0.042	1,0.959,0.893,0.945	1,0.986,0.988,0.981,1	chrNC_037652.1	-	6558121-6558309	6558121-6558306	6559082-6559339
68	LOC409321	NA	0.000700178734513	0.0021257111692743	-0.165	0.24,0.458,0.484,0.46	0.674,0.586,0.519,0.545,0.554	chrNC_037652.1	-	6559082-6559339	6559082-6559324	6559525-6559804
69	LOC408533	NA	0	0	0.333	0.878,0.887,0.885,0.971	0.423,0.624,0.624,0.468,0.72	chrNC_037652.1	-	5740342-5740468	5740342-5740390	5740861-5741014
70	LOC410621	NA	0.123504133965	0.225326245761938	0.038	0.259,0.237,0.346,0.221	0.239,0.236,0.225,0.229,0.209	chrNC_037652.1	-	5251931-5252080	5251931-5252077	5252158-5252303
71	LOC410621	NA	1.68179692395e-10	1.28731311289317e-09	-0.154	0.602,0.601,0.602,0.568	0.765,0.832,0.662,0.708,0.769	chrNC_037652.1	-	5252367-5252872	5252367-5252860	5252942-5253394
72	LOC410621	NA	1	1	-0.001	1,1,1,0.992	1,0.994,1,1,1	chrNC_037652.1	-	5252367-5252872	5252367-5252860	5253470-5254381
73	LOC409674	NA	3.52238538337e-09	2.30447586098444e-08	-0.059	0.831,0.857,0.81,0.841	0.894,0.898,0.895,0.889,0.892	chrNC_037652.1	-	5238092-5240745	5238092-5240742	5241119-5241378
74	LOC410623	NA	1	1	0.027	1,1,1,1	1,1,0.866,1,1	chrNC_037652.1	-	5091949-5092104	5091949-5092023	5092249-5093174
75	LOC413032	NA	0.00246288015164	0.0066814278812563	-0.104	0.688,0.895,1,1	1,1,1,1,1	chrNC_037652.1	-	3839161-3840221	3839161-3839687	3840303-3840688
76	LOC411720	NA	0.00131919260522	0.00380006228070836	-0.087	0.504,0.414,0.531,0.492	0.524,0.607,0.57,0.565,0.594	chrNC_037652.1	+	3775790-3775869	3775795-3775869	3775592-3775719
77	LOC413755	NA	0.593831910117	0.824031924456095	-0.007	0.187,0.176,0.178,0.169	0.18,0.165,0.21,0.162,0.203	chrNC_037652.1	-	3449944-3450175	3449944-3450160	3450368-3450755
78	LOC408548	NA	0.00508686961643	0.0129667185882961	-0.046	0.669,0.683,0.649,0.683	0.734,0.755,0.668,0.724,0.706	chrNC_037652.1	-	2986196-2986351	2986196-2986348	2987682-2987874
79	Syt20	NA	0.308773284481	0.486759285103653	0.033	0.228,0.143,0.076,0.257	0.158,0.181,0.148,0.087,0.143	chrNC_037653.1	-	1772122-1772256	1772122-1772241	1776424-1776568
80	Syt20	NA	0.623854704509	0.856967672386028	0.031	0.845,0.742,0.747,0.732	0.509,0.536,1,1,0.632	chrNC_037653.1	-	1776424-1776583	1776424-1776568	1777056-1777945
81	LOC725503	NA	0.0860169004382	0.164368928560125	0.045	0.427,0.416,0.357,0.331	0.316,0.361,0.323,0.292,0.396	chrNC_037652.1	-	2837156-2837230	2837156-2837227	2837644-2837841
82	LOC100577909	NA	5.19140286315e-11	4.16236514428228e-10	0.323	0.906,0.661,0.911,0.749	0.43,0.521,0.524,0.534,0.41	chrNC_037652.1	-	2808889-2808997	2808889-2808971	2809149-2809484
83	LOC551194	NA	0.000365554873593	0.00117029534176337	-0.209	0.593,0.702,0.53,0.65	0.956,0.696,0.903,0.951,0.632	chrNC_037652.1	+	2795365-2795431	2795368-2795431	2794991-2795281
84	LOC409137	NA	0.000172129153114	0.000590969468505754	-0.037	0.931,0.917,0.873,0.898	0.947,0.921,0.967,0.918,0.958	chrNC_037652.1	-	2662684-2662864	2662684-2662855	2663312-2663477
85	LOC551839	NA	0.8668483344	1	0.03	0.478,0.538,0.278,0.488	0.191,0.491,0.441,0.67,0.283	chrNC_037652.1	+	2548221-2548340	2548261-2548340	2547739-2547943
86	LOC551839	NA	2.67311758376e-05	0.000105456227134843	-0.081	0.927,0.841,0.772,0.958	0.901,1,0.975,0.979,0.924	chrNC_037652.1	+	2548221-2548340	2548261-2548340	2547741-2547960
87	LOC724207	NA	0.86961439322	1	0.059	0.391,0.489,1,0.281	0.188,1,0.582,0.188,0.448	chrNC_037652.1	-	2531439-2532030	2531439-2531965	2533051-2533300
89	LOC727223	NA	5.23510595232e-05	0.000197283909109744	0.106	0.961,0.997,0.994,1	0.518,0.92,1,1,0.971	chrNC_037652.1	-	2188531-2188683	2188531-2188647	2188800-2188982
90	LOC727223	NA	1.41882505744e-10	1.09533294434368e-09	-0.293	0.241,0.229,0.232,0.184	0.528,0.496,0.684,0.377,0.485	chrNC_037652.1	-	2190386-2190525	2190386-2190516	2190602-2190798
91	LOC726601	NA	1.34236076699e-08	8.13241881705601e-08	-0.034	0.951,0.958,0.921,0.951	0.995,1,0.95,0.985,0.968	chrNC_037652.1	+	1879297-1879455	1879384-1879455	1878951-1879099
92	LOC100578556	NA	0.426494145026	0.638441650892106	-0.051	0.821,0.517,0.45,0.527	0.703,0.564,0.617,0.629,0.635	chrNC_037652.1	+	1823436-1823779	1823439-1823779	1822985-1823133
93	LOC409573	NA	8.57516470054e-08	4.68082727694123e-07	-0.09	0.846,0.85,0.818,0.833	0.932,0.952,0.946,0.899,0.907	chrNC_037652.1	+	1799720-1800350	1799723-1800350	1799390-1799500
94	LOC409200	NA	0	0	0.259	0.968,0.975,0.952,0.968	0.614,0.73,0.662,0.759,0.767	chrNC_037652.1	-	1572457-1572747	1572457-1572694	1572951-1573030
95	LOC724789	NA	0.000198056829161	0.000673991879588189	0.039	0.984,0.931,0.904,0.916	0.886,0.902,0.927,0.886,0.872	chrNC_037652.1	-	814499-814601	814499-814596	814688-814800
96	LOC724789	NA	0.0269530731632	0.0579373139912223	-0.008	0.995,0.979,0.968,0.987	1,0.983,0.976,1,0.993	chrNC_037652.1	-	815568-815789	815568-815745	815990-816088
97	LOC724789	NA	0.000257583031973	0.000853974665510486	-0.034	1,0.994,0.807,0.98	0.979,0.935,1,0.983,1	chrNC_037652.1	-	815568-815789	815568-815745	816197-816330
98	LOC724789	NA	0.114323229149	0.210854174171057	-0.045	0.787,0.849,0.708,0.701	0.798,0.911,0.656,0.856,0.808	chrNC_037652.1	-	816197-816388	816197-816330	816533-816577
99	LOC100576614	NA	0.00066298105055	0.00202383208707795	-0.272	0.183,0.697,0.501,0.6	0.956,0.938,0.402,0.782,0.759	chrNC_037652.1	-	805944-806099	805944-806082	808663-808874
100	LOC411466	NA	0	0	-0.421	0.036,0.09,0.161,0.017	0.49,0.561,0.467,0.4,0.568	chrNC_037652.1	+	630319-630526	630349-630526	630012-630199
101	LOC411466	NA	0.100713619041	0.18976861830459	-0.035	0.146,0.104,0.069,0.015	0.171,0.178,0.14,0.023,0.082	chrNC_037652.1	+	646524-646698	646536-646698	644650-644819
102	LOC411466	NA	0.00722046069137	0.017817063733408	-0.045	0.152,0.162,0.073,0.024	0.22,0.159,0.147,0.101,0.112	chrNC_037652.1	+	646524-646923	646536-646923	645438-645590
103	LOC411466	NA	0	0	-0.329	0.679,0.567,0.483,0.516	0.941,0.86,0.805,0.912,0.932	chrNC_037652.1	+	646762-646923	646834-646923	646524-646698
104	LOC408501	NA	0.0398726207344	0.0820531768654599	-0.032	0.04,0.1,0.081,0.1	0.139,0.102,0.11,0.083,0.128	chrNC_037651.1	+	10641032-10641086	10641044-10641086	10640838-10640967
105	LOC408501	NA	2.06006580589e-05	8.35579340000885e-05	-0.132	0.039,0.118,0.093,0.216	0.318,0.343,0.144,0.183,0.252	chrNC_037651.1	+	10641032-10641086	10641044-10641086	10640838-10640980
106	Metrn	NA	0.756541931526	0.991389318550229	0.004	0.108,0.863,0.826,0.537	0.411,0.51,0.857,0.407,0.711	chrNC_037651.1	+	10631143-10631330	10631148-10631330	10630610-10631072
107	LOC551446	NA	1	1	-0.004	1,1,0.983,1	1,1,1,1,1	chrNC_037651.1	-	10602411-10602833	10602411-10602626	10608055-10608102
108	LOC551446	NA	0.105529133879	0.197192060678463	-0.012	0.198,0.107,0.078,0.128	0.171,0.102,0.136,0.151,0.141	chrNC_037651.1	-	10606818-10607176	10606818-10607158	10608055-10608102
109	LOC551446	NA	1	1	-0.004	1,1,1,0.982	1,1,1,1,1	chrNC_037651.1	-	10602411-10602833	10602411-10602626	10610669-10610755
110	LOC551446	NA	0.000215300799022	0.000725365036106539	-0.017	0.04,0.03,0.039,0.039	0.063,0.039,0.06,0.061,0.047	chrNC_037651.1	-	10606818-10607176	10606818-10607158	10610669-10610755
111	LOC727311	NA	0.834942865141	1	0.058	0.371,0.142,0.236,0.171	0.206,0.119,0.242,0.118,0.173	chrNC_037651.1	+	10453460-10453595	10453472-10453595	10452771-10452997
112	LOC552019	NA	0.130944851378	0.23682261607989	-0.002	1,0.824,0.713,0.88	0.506,0.84,1,0.933,1	chrNC_037653.1	-	2963755-2963862	2963755-2963841	2963921-2964097
113	LOC727232	NA	0	0	-0.143	0.822,0.821,0.82,0.748	0.937,0.963,0.961,0.965,0.905	chrNC_037651.1	-	10020559-10020703	10020559-10020685	10021114-10021281
114	LOC727232	NA	0.000599219868609	0.00184406843391972	0.034	0.907,0.94,0.93,0.92	0.866,0.873,0.901,0.911,0.901	chrNC_037651.1	-	10022252-10022275	10022252-10022272	10022406-10022500
116	LOC410558	NA	0.120271032188	0.220619367937526	-0.017	0.104,0.037,0.052,0.07	0.138,0.059,0.057,0.049,0.113	chrNC_037651.1	-	9981482-9981729	9981482-9981719	9981804-9982196
117	LOC727185	NA	0.00200698516806	0.00555053625803288	-0.309	0,0.276,0.195,0.397	0.326,0.492,0.659,0.659,0.492	chrNC_037651.1	+	9966247-9966516	9966252-9966516	9964658-9964866
118	LOC727185	NA	1	1	-0.347	NA,0.592,0.367,1	1,1,1,1,1	chrNC_037651.1	+	9966247-9966516	9966252-9966516	9965645-9965907
119	LOC550989	NA	0.52351890353	0.750423383203215	-0.001	1,0.909,0.972,1	1,1,0.858,1,1	chrNC_037653.1	-	4895513-4895705	4895513-4895657	4896060-4896119
120	LOC550989	NA	1.83299442291e-09	1.24440978158362e-08	-0.347	0.454,0.211,0.369,0.377	0.893,0.764,0.668,0.601,0.571	chrNC_037653.1	-	4895513-4895657	4895513-4895643	4896818-4896904
121	LOC550989	NA	1.06703423874e-10	8.35688844369704e-10	-0.327	0.601,0.305,0.638,0.51	0.946,0.862,0.788,0.771,0.835	chrNC_037653.1	-	4895513-4895705	4895513-4895643	4896818-4896904
122	LOC550989	NA	0.151695694986	0.269304709495514	0.026	1,1,1,1	0.988,1,0.942,0.97,0.972	chrNC_037653.1	-	4895513-4895705	4895513-4895657	4896818-4896904
123	LOC550989	NA	2.67348318236e-05	0.000105456227134843	-0.095	0.167,0.118,0.153,0.217	0.342,0.28,0.291,0.218,0.163	chrNC_037653.1	-	4895513-4895657	4895513-4895643	4897727-4897853
124	LOC550989	NA	0	0	-0.245	0.261,0.15,0.313,0.262	0.515,0.517,0.504,0.472,0.449	chrNC_037653.1	-	4895513-4895705	4895513-4895643	4897727-4897853
125	LOC550989	NA	0.00905909395378	0.0218745950519335	-0.075	0.956,0.755,0.864,0.712	0.791,0.942,0.912,0.949,0.889	chrNC_037653.1	-	4895513-4895705	4895513-4895657	4897727-4897853
126	LOC100576251	NA	7.14599289782e-05	0.00026377695095505	-0.169	0.337,0.4,0.426,0.249	0.421,0.509,0.566,0.587,0.528	chrNC_037651.1	-	9470631-9470834	9470631-9470822	9471551-9471688
127	LOC100576251	NA	1	1	-0.052	1,1,NA,0.607	1,1,0.787,0.819,1	chrNC_037651.1	-	9470631-9470834	9470631-9470822	9472322-9472534
128	LOC100576251	NA	7.95162798217e-06	3.43764780925173e-05	0.075	1,1,1,1	0.944,0.945,0.988,0.906,0.844	chrNC_037651.1	-	9470631-9470834	9470631-9470822	9474973-9475132
129	LOC100576251	NA	6.47260023356e-14	6.75249645987611e-13	-0.376	0.55,0.362,0.264,0.253	0.728,0.753,0.665,0.752,0.766	chrNC_037651.1	-	9472322-9472534	9472322-9472489	9474973-9475132
130	LOC100576251	NA	0.229360600455	0.383260570457273	0.001	1,1,0.914,1	0.957,0.975,1,1,0.954	chrNC_037651.1	-	9474973-9475132	9474973-9475105	9481393-9481422
131	LOC100576251	NA	8.17959977306e-07	4.01841428851057e-06	-0.351	0.195,0.418,0.438,0.216	0.607,0.476,0.813,0.743,0.698	chrNC_037651.1	-	9474973-9475132	9474973-9475105	9486027-9486220
132	LOC100576251	NA	1.75966685667e-10	1.34311295105151e-09	-0.086	1,0.804,0.884,0.887	0.995,0.98,0.974,0.977,0.975	chrNC_037651.1	-	9474973-9475132	9474973-9475105	9486036-9486220
133	LOC100576251	NA	0.801103284812	1	0.029	1,1,1,1	1,0.857,1,1,1	chrNC_037651.1	-	9472322-9472534	9472322-9472489	9502568-9502898
134	LOC100576251	NA	0.605222315129	0.837332665375606	0.035	1,1,1,1	0.823,1,1,1,1	chrNC_037651.1	-	9474973-9475132	9474973-9475105	9502568-9502898
135	LOC100576251	NA	0.414591433321	0.623571421145971	-0.119	1,0.753,0.346,0.414	0.729,0.866,0.723,0.72,0.698	chrNC_037651.1	-	9502568-9502898	9502568-9502886	9527633-9527743
136	LOC100576251	NA	1	1	-0.44	NA,0,0.822,0.316	0.649,0.687,0.857,0.902,1	chrNC_037651.1	-	9502568-9502898	9502568-9502886	9529940-9531222
137	LOC410545	NA	0.0547800866369	0.109317425474818	0.01	0.052,0.069,0.054,0.056	0.043,0.055,0.054,0.041,0.045	chrNC_037651.1	-	9309829-9309979	9309829-9309967	9310046-9310209
138	LOC726723	NA	2.2588597659e-12	2.09021886556911e-11	-0.069	0.927,0.856,0.923,0.817	0.956,0.939,0.96,0.955,0.938	chrNC_037651.1	-	9225974-9226185	9225974-9226179	9226322-9226426
139	LOC726723	NA	8.00914889965e-13	7.72882868816225e-12	-0.098	0.896,0.905,0.82,0.896	1,1,1,0.972,0.914	chrNC_037651.1	-	9225974-9226185	9225974-9226179	9226703-9226935
140	LOC726723	NA	3.75910191863e-10	2.80582690169565e-09	0.167	0.896,0.874,0.834,0.844	0.797,0.716,0.725,0.609,0.627	chrNC_037651.1	-	9229906-9230314	9229906-9230077	9230615-9230730
141	LOC726723	NA	0.0391206456387	0.0806285160303336	0.088	0.404,0.476,0.247,0.327	0.249,0.237,0.284,0.317,0.291	chrNC_037651.1	-	9232068-9232236	9232068-9232233	9236864-9237175
142	LOC726649	NA	1.34657285322e-09	9.30547276061494e-09	0.074	0.976,0.955,0.989,1	0.787,0.88,0.887,1,0.974	chrNC_037651.1	-	9103262-9103476	9103262-9103464	9103744-9103818
143	LOC100578743	NA	0.0101183482932	0.0240490498905421	-0.06	0.935,0.774,0.879,0.746	0.889,0.855,0.907,0.917,0.899	chrNC_037651.1	-	9100657-9100979	9100657-9100967	9101051-9101153
144	LOC413909	NA	0.239316159652	0.396950437924926	0.022	1,1,0.905,0.398	0.703,0.741,0.931,0.952,0.692	chrNC_037651.1	+	9093424-9093827	9093441-9093827	9090431-9090705
